"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-06-02,2021-06-11,1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-06-03,2021-06-11,1,1,"BS",1,1,8,0,1.015,1,0.121613279660528,0,1,1,1,1,1,1,1,0.998493582231648,979.785105967921,979.785105967921
2021-06-04,2021-06-11,1,0,"BS",0,NA,7,NA,0.015,0,0.121613279660528,0,0,0,0,0,0,0,0,0.999576572498402,976.726392841314,976.726392841314
2021-06-05,2021-06-11,1,0,"BS",0,NA,6,NA,0.026,0,0.165382439670454,0,0,0,0,0,0,0,0,0.998999785060672,1061.68532178767,1062.17322711942
2021-06-06,2021-06-11,1,0,"BS",0,NA,5,NA,0.039,0,0.203765847286832,0,0,0,0,0,0,0,0,0.998306157066717,1091.70948971711,1092.8581131257
2021-06-07,2021-06-11,1,2,"BS",2,1,4,0,2.087,2,0.321767827065626,0,2,2,2,2,2,2,3,0.99952576461967,1081.30081766243,1016.91765742218
2021-06-08,2021-06-11,1,1,"BS",1,1,3,0,1.162,1,0.404870250722278,0,1,1,1,1,1,1,2,1.00171982387588,1053.48625535816,1032.04526151798
2021-06-09,2021-06-11,1,0,"BS",0,NA,2,NA,0.372,0,0.643451653218818,0,0,0,0,0,0,1,2,1.00198603617496,1103.57013157027,888.545508020221
2021-06-10,2021-06-11,1,0,"BS",0,NA,1,NA,0.553,0,0.81600052503467,0,0,0,0,0,1,1,2,1.0022406474246,1057.80016007903,921.38266334458
2021-06-11,2021-06-11,1,0,"BS",0,NA,0,NA,0.606,0,0.873800622297517,0,0,0,0,0,1,1,2,1.00067608690679,1015.50616894303,1008.47342923673
2021-06-03,2021-06-12,1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-06-04,2021-06-12,1,0,"BS",0,NA,8,NA,0.015,0,0.121613279660528,0,0,0,0,0,0,0,0,0.999215314591687,1038.82042057733,1038.82042057734
