"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-03-23,2021-04-01,1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-03-24,2021-04-01,1,0,"BS",0,NA,8,NA,0.014,0,0.117549214450024,0,0,0,0,0,0,0,0,1.00051063169861,959.411339748758,959.411339748759
2021-03-25,2021-04-01,1,0,"BS",0,NA,7,NA,0.035,0,0.189237445583084,0,0,0,0,0,0,0,0,0.998444801871693,1019.47139907748,1017.71189379595
2021-03-26,2021-04-01,1,0,"BS",0,NA,6,NA,0.078,0,0.275666450610139,0,0,0,0,0,0,0,1,1.00665008474381,998.799112689001,990.418388078505
2021-03-27,2021-04-01,1,1,"BS",1,1,5,0,1.107,1,0.325048698900114,0,1,1,1,1,1,1,2,1.01699125621005,774.844874600091,807.497977755989
2021-03-28,2021-04-01,1,2,"BS",2,1,4,1,2.235,2,0.507969519787391,0,2,2,2,2,2,3,3,1.02133140879611,310.800289839941,442.17757097961
2021-03-29,2021-04-01,1,1,"BS",1,1,3,1,1.46,1,0.696336761118415,0,1,1,1,1,2,2,3,1.04753152036091,54.9018274672736,72.813711994848
2021-03-30,2021-04-01,1,1,"BS",1,1,2,1,1.807,2,0.982199427670224,1.4826,1,1,1,2,2,2,4,1.05299247228354,31.473993620187,32.8417034341314
2021-03-31,2021-04-01,1,0,"BS",0,NA,1,NA,1.223,1,1.19779201270743,1.4826,0,0,1,1,1,2,4,1.0445866522704,50.5913550087699,62.57249690194
2021-04-01,2021-04-01,1,0,"BS",0,NA,0,NA,1.477,1,1.34658244615184,1.4826,0,0,1,1,2,2,4,1.05973553212216,26.0397140303951,63.6528932756269
2021-03-24,2021-04-02,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-03-25,2021-04-02,1,0,"BS",0,NA,8,NA,0.013,0,0.113330683593826,0,0,0,0,0,0,0,0,0.999816175664482,1033.73242523245,1033.73242523245
2021-03-26,2021-04-02,1,0,"BS",0,NA,7,NA,0.017,0,0.13685660279917,0,0,0,0,0,0,0,0,0.998334456547985,1041.78542296544,1042.03239091188
2021-03-27,2021-04-02,1,1,"BS",1,1,6,0,1.04,1,0.20601563640278,0,1,1,1,1,1,1,1,0.998179056388909,1027.35731319204,1022.13158909971
2021-03-28,2021-04-02,1,2,"BS",2,1,5,0,2.071,2,0.260819913018594,0,2,2,2,2,2,2,3,0.999773127849782,654.047767956572,655.961718515039
2021-03-29,2021-04-02,1,1,"BS",1,1,4,0,1.176,1,0.432679108822244,0,1,1,1,1,1,1,2,1.00308316739792,1059.71624751783,1052.56655418392
2021-03-30,2021-04-02,1,1,"BS",1,1,3,0,1.331,1,0.588034679916742,0,1,1,1,1,1,2,3,0.998355050470506,887.541488025116,883.505209038509
2021-03-31,2021-04-02,1,1,"BS",1,1,2,1,1.634,1,0.914811937438991,0,1,1,1,1,2,2,3.04999999999995,0.998699246898917,1037.1671231163,985.334104044322
2021-04-01,2021-04-02,1,0,"BS",0,NA,1,NA,0.982,1,1.21620522740003,1.4826,0,0,0,1,1,2,3,0.998945568041546,1134.28282592279,1071.25970036728
2021-04-02,2021-04-02,1,0,"BS",0,NA,0,NA,1.076,1,1.23683214453448,1.4826,0,0,0,1,1,2,4,0.998609136228049,926.190011738304,862.603208093295
2021-03-25,2021-04-03,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-03-26,2021-04-03,1,0,"BS",0,NA,8,NA,0.023,0,0.162780519404189,0,0,0,0,0,0,0,0,0.999030557445344,1052.22492299013,1052.86110427655
2021-03-27,2021-04-03,1,1,"BS",1,1,7,0,1.04,1,0.210818510677892,0,1,1,1,1,1,1,1,0.998905513626966,914.061575329484,922.525572966891
2021-03-28,2021-04-03,1,2,"BS",2,1,6,0,2.065,2,0.250674765059904,0,2,2,2,2,2,2,3,0.999395434825258,877.63488059422,890.39295209789
2021-03-29,2021-04-03,1,1,"BS",1,1,5,0,1.137,1,0.371980334654091,0,1,1,1,1,1,1,2,1.00208703448798,1085.54533027738,1025.39885971668
2021-03-30,2021-04-03,1,1,"BS",1,1,4,0,1.351,1,0.619825123065517,0,1,1,1,1,1,2,3,0.999279741550493,963.460563173939,953.0212231525
2021-03-31,2021-04-03,1,1,"BS",1,1,3,0,1.591,1,0.863982329371073,0,1,1,1,1,2,2,3,1.00164450727829,1019.35427364107,693.851179745094
2021-04-01,2021-04-03,1,0,"BS",0,NA,2,NA,0.906,1,1.12802324286179,1.4826,0,0,0,1,1,2,3,1.00373782964107,1083.70960726525,952.224973717571
2021-04-02,2021-04-03,1,0,"BS",0,NA,1,NA,1.051,1,1.20575820662886,1.4826,0,0,0,1,1,2,3,0.999789996461421,982.386071304781,960.840558508216
2021-04-03,2021-04-03,1,0,"BS",0,NA,0,NA,1.017,1,1.21827550053147,1.4826,0,0,0,1,1,2,3,1.00343836498004,1016.74690218298,928.555846124335
2021-03-26,2021-04-04,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-03-27,2021-04-04,1,1,"BS",1,1,8,0,1.046,1,0.227894571975587,0,1,1,1,1,1,1,1,0.999697823693461,1039.31534447912,1048.7656082514
2021-03-28,2021-04-04,1,2,"BS",2,1,7,0,2.088,2,0.2938406750985,0,2,2,2,2,2,2,3,1.00091761308798,924.738281475978,899.240546897476
2021-03-29,2021-04-04,1,1,"BS",1,1,6,0,1.143,1,0.390773212623004,0,1,1,1,1,1,1,2,1.00100945367756,1105.81650629962,948.95093007781
2021-03-30,2021-04-04,1,1,"BS",1,1,5,0,1.31,1,0.569406905669596,0,1,1,1,1,1,2,2,0.999830751370235,989.201554933013,964.499174057311
2021-03-31,2021-04-04,1,1,"BS",1,1,4,0,1.624,1,0.88510304903294,0,1,1,1,1,2,2,3,0.999328529291928,1072.06488823233,895.797268572646
2021-04-01,2021-04-04,1,0,"BS",0,NA,3,NA,0.946,1,1.08270783513202,1.4826,0,0,0,1,1,2,3,1.00161043686504,1058.08153209805,932.659656298953
2021-04-02,2021-04-04,1,0,"BS",0,NA,2,NA,0.981,1,1.19752790074932,1.4826,0,0,0,1,1,2,3,1.00357963564153,998.321802024035,903.423939229255
2021-04-03,2021-04-04,1,0,"BS",0,NA,1,NA,0.987,1,1.14461397035906,1.4826,0,0,0,1,1,2,3,0.999063976705377,1042.16030633574,934.53783226103
2021-04-04,2021-04-04,1,0,"BS",0,NA,0,NA,1.018,1,1.16663492020299,1.4826,0,0,0,1,1,2,3,1.00151834212992,1030.17252417452,874.976021471475
