"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-01-23,2021-02-01,1,3,"BS",3,1,9,0.333333333333333,3,3,0,0,3,3,3,3,3,3,3,NA,NA,NA
2021-01-24,2021-02-01,1,1,"BS",1,1,8,1,1.048,1,0.213873190797121,0,1,1,1,1,1,1,1,1.00080136666944,930.086781665274,930.086781665275
2021-01-25,2021-02-01,1,1,"BS",1,1,7,0,1.126,1,0.358123236124455,0,1,1,1,1,1,1,2,0.999985438111104,845.775562980965,823.487023931939
2021-01-26,2021-02-01,1,0,"BS",0,NA,6,NA,0.283,0,0.594360382482097,0,0,0,0,0,0,1,1,0.998710447917089,989.129945772813,831.714103917133
2021-01-27,2021-02-01,1,2,"BS",2,1,5,1,2.489,2,0.735132246211129,0,2,2,2,2,3,3,4,0.999964172080659,786.594631332524,832.450682349987
2021-01-28,2021-02-01,1,1,"BS",1,1,4,1,1.76,1,0.999699654596019,0,1,1,1,1,2,2,4,0.99873384972361,953.154091593229,991.708465678309
2021-01-29,2021-02-01,1,1,"BS",1,1,3,1,1.995,2,1.14029613490324,1.4826,1,1,1,2,2,3,4,1.00051537518628,1149.00028243051,1055.63463163921
2021-01-30,2021-02-01,1,0,"BS",0,NA,2,NA,1.272,1,1.41138513808528,1.4826,0,0,1,1,1,2,4,0.998188141838351,1049.83041715871,935.516986304192
2021-01-31,2021-02-01,1,0,"BS",0,NA,1,NA,1.703,1,1.61350376336543,1.4826,0,0,1,1,2,3,5,0.999585616188248,822.910840557528,883.58674721848
2021-02-01,2021-02-01,1,0,"BS",0,NA,0,NA,1.863,2,1.71089396461562,1.4826,0,0,1,2,2,3,5,1.00337810057234,846.814489624197,869.644650855528
2021-01-24,2021-02-02,1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-01-25,2021-02-02,1,1,"BS",1,1,8,0,1.051,1,0.229022818626117,0,1,1,1,1,1,1,1,1.000802565594,1004.03055937835,1023.36679230087
