"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-02-20,2021-03-01,1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-02-21,2021-03-01,1,0,"BS",0,NA,8,NA,0.015,0,0.121613279660528,0,0,0,0,0,0,0,0,1.00247608413573,908.269643372875,908.269643372875
2021-02-22,2021-03-01,1,0,"BS",0,NA,7,NA,0.035,0,0.18387171834953,0,0,0,0,0,0,0,0,0.998845770495173,1040.78541893645,1040.78541893645
2021-02-23,2021-03-01,1,1,"BS",1,1,6,0,1.091,1,0.291210926655927,0,1,1,1,1,1,1,2,1.00162628192396,995.659977877627,1008.09703538824
2021-02-24,2021-03-01,1,0,"BS",0,NA,5,NA,0.144,0,0.404261582923022,0,0,0,0,0,0,0,1,0.999452711602487,880.352620066586,822.873143608293
2021-02-25,2021-03-01,1,0,"BS",0,NA,4,NA,0.197,0,0.44765097050201,0,0,0,0,0,0,0,1,0.999399505836986,936.682406718844,1017.90085906345
2021-02-26,2021-03-01,1,0,"BS",0,NA,3,NA,0.252,0,0.52988373892466,0,0,0,0,0,0,1,1,0.999578769082029,1018.44144798582,988.135477117327
2021-02-27,2021-03-01,1,1,"BS",1,1,2,1,1.375,1,0.659401099339249,0,1,1,1,1,1,2,3,0.999498051974956,953.997018087365,951.042185236403
2021-02-28,2021-03-01,1,0,"BS",0,NA,1,NA,0.494,0,0.817699598038688,0,0,0,0,0,0,1,2,1.0001254638594,891.154741435119,880.759580234059
2021-03-01,2021-03-01,1,0,"BS",0,NA,0,NA,0.533,0,0.842389826992599,0,0,0,0,0,1,1,2,0.998627674925374,1024.7129331045,962.300965962822
2021-02-21,2021-03-02,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-02-22,2021-03-02,1,0,"BS",0,NA,8,NA,0.013,0,0.113330683593826,0,0,0,0,0,0,0,0,0.999400007445892,1034.18374966032,1034.18374966032
2021-02-23,2021-03-02,1,1,"BS",1,1,7,0,1.04,1,0.20601563640278,0,1,1,1,1,1,1,1,0.999872557554901,1092.31271699473,1093.06888863008
2021-02-24,2021-03-02,1,0,"BS",0,NA,6,NA,0.113,0,0.349790442055459,0,0,0,0,0,0,0,1,0.99808242493852,891.4722291302,905.060507049006
2021-02-25,2021-03-02,1,0,"BS",0,NA,5,NA,0.136,0,0.407025391922506,0,0,0,0,0,0,0,1,0.998846390865195,928.354766607083,861.449568300999
2021-02-26,2021-03-02,1,0,"BS",0,NA,4,NA,0.224,0,0.496054503124475,0,0,0,0,0,0,0,1,1.0004372893405,987.233319511773,814.648026103901
2021-02-27,2021-03-02,1,1,"BS",1,1,3,0,1.314,1,0.617888166083302,0,1,1,1,1,1,2,3,1.00118282158396,1020.96701855216,905.889104036659
2021-02-28,2021-03-02,1,1,"BS",1,1,2,1,1.503,1,0.774978445888395,0,1,1,1,1,2,2,3,1.00263260046995,960.344680104658,951.943093736599
2021-03-01,2021-03-02,1,1,"BS",1,1,1,1,1.776,1,1.04829524606521,0,1,1,1,1,2,2,4,0.999072243287285,881.047728828698,993.267593784364
2021-03-02,2021-03-02,1,0,"BS",0,NA,0,NA,0.747,0,0.959119862640176,0,0,0,0,0,1,1,3,0.999428533472505,960.375537069178,1044.17959253144
2021-02-22,2021-03-03,1,1,"BS",1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-02-23,2021-03-03,1,1,"BS",1,1,8,0,1.019,1,0.136593036636783,0,1,1,1,1,1,1,1,0.999248911654929,853.606518789217,853.606518789215
2021-02-24,2021-03-03,1,0,"BS",0,NA,7,NA,0.044,0,0.205197724417465,0,0,0,0,0,0,0,0,1.00104416254284,956.78795313899,956.78795313899
2021-02-25,2021-03-03,1,0,"BS",0,NA,6,NA,0.097,0,0.312551897592526,0,0,0,0,0,0,0,1,1.00138039904405,944.489155054654,926.938123616811
2021-02-26,2021-03-03,1,1,"BS",1,1,5,1,1.122,1,0.362280619475079,0,1,1,1,1,1,1,2,0.998430311740314,897.411916360623,868.344033265987
2021-02-27,2021-03-03,1,1,"BS",1,1,4,0,1.188,1,0.443681026023035,0,1,1,1,1,1,1,2,0.998753614452524,1190.33725433189,947.973614126105
2021-02-28,2021-03-03,1,1,"BS",1,1,3,0,1.359,1,0.642286175728181,0,1,1,1,1,1,2,3,1.00284913599888,1036.69756880757,1017.55630530771
2021-03-01,2021-03-03,1,2,"BS",2,1,2,0.5,2.6,2,0.889264185037715,0,2,2,2,2,3,3,4,0.998464711087007,999.147514710684,1007.46346623289
2021-03-02,2021-03-03,1,0,"BS",0,NA,1,NA,0.86,1,1.10164132711768,1.4826,0,0,0,1,1,2,3,1.001165462494,901.474494966397,1003.86060443512
2021-03-03,2021-03-03,1,0,"BS",0,NA,0,NA,0.973,1,1.15134555915963,1.4826,0,0,0,1,1,2,3,0.999480361731086,971.458254588727,774.107942450867
2021-02-23,2021-03-04,1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-02-24,2021-03-04,1,0,"BS",0,NA,8,NA,0.023,0,0.149978310076802,0,0,0,0,0,0,0,0,0.998560874310754,907.294649657616,907.294649657616
2021-02-25,2021-03-04,1,0,"BS",0,NA,7,NA,0.03,0,0.170672578726429,0,0,0,0,0,0,0,0,0.998089458941728,1075.3154947661,1075.3154947661
2021-02-26,2021-03-04,1,1,"BS",1,1,6,0,1.047,1,0.216420511592219,0,1,1,1,1,1,1,1,1.00185341323606,1059.41979392401,1058.72706998236
2021-02-27,2021-03-04,1,1,"BS",1,1,5,0,1.07,1,0.274180916869091,0,1,1,1,1,1,1,2,0.998113097119632,933.621870016896,924.290292486222
2021-02-28,2021-03-04,1,2,"BS",2,1,4,0.5,2.142,2,0.376799652306074,0,2,2,2,2,2,2,3,1.00007454737587,951.79537857974,892.264653315343
2021-03-01,2021-03-04,1,2,"BS",2,1,3,0,2.27,2,0.549000365574925,0,2,2,2,2,2,3,3,0.999463682734779,998.294431085538,987.013098083964
2021-03-02,2021-03-04,1,0,"BS",0,NA,2,NA,0.538,0,0.783051191921173,0,0,0,0,0,1,1,2,0.99899441949251,993.594779611017,942.24291660607
2021-03-03,2021-03-04,1,0,"BS",0,NA,1,NA,0.762,0,1.02879269749275,0,0,0,0,0,1,1,3,0.99945310940533,895.858474745939,916.490623794749
2021-03-04,2021-03-04,1,0,"BS",0,NA,0,NA,0.92,1,1.16316505834424,1.4826,0,0,0,1,1,2,3,1.00007598890046,1040.86431470012,936.039822879266
2021-02-24,2021-03-05,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-02-25,2021-03-05,1,0,"BS",0,NA,8,NA,0.011,0,0.104354635210372,0,0,0,0,0,0,0,0,0.999651985148692,1029.53469706521,1029.53469706521
2021-02-26,2021-03-05,1,1,"BS",1,1,7,0,1.019,1,0.136593036636783,0,1,1,1,1,1,1,1,0.999248911654929,941.981298316618,941.981298316618
2021-02-27,2021-03-05,1,1,"BS",1,1,6,0,1.031,1,0.17908397770619,0,1,1,1,1,1,1,1,1.00078472830069,1000.84570550665,998.268566092989
2021-02-28,2021-03-05,1,2,"BS",2,1,5,0,2.06,2,0.249924913649005,0,2,2,2,2,2,2,3,1.00166712367295,996.884115896992,932.864475174672
2021-03-01,2021-03-05,1,2,"BS",2,1,4,0,2.147,2,0.384107457020218,0,2,2,2,2,2,2,3,0.99904144970211,871.886646990031,889.69657996282
