"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-04-22,2021-05-01,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-04-23,2021-05-01,1,0,"BS",0,NA,8,NA,0.02,0,0.140070052543788,0,0,0,0,0,0,0,0,0.998813353965836,1050.61405815427,1050.61405815427
2021-04-24,2021-05-01,1,0,"BS",0,NA,7,NA,0.024,0,0.159528835792936,0,0,0,0,0,0,0,0,0.998996962450961,955.403322842254,950.902695847264
2021-04-25,2021-05-01,1,1,"BS",1,1,6,0,1.045,1,0.221413694301017,0,1,1,1,1,1,1,1,0.998255236802013,1028.37354985303,1039.2183979947
2021-04-26,2021-05-01,1,0,"BS",0,NA,5,NA,0.095,0,0.316346447862269,0,0,0,0,0,0,0,1,0.998709515623695,957.768186701229,965.250705807299
2021-04-27,2021-05-01,1,0,"BS",0,NA,4,NA,0.258,0,0.526985496682512,0,0,0,0,0,0,1,1,0.999708895695814,846.682853841449,696.805018642358
2021-04-28,2021-05-01,1,0,"BS",0,NA,3,NA,0.463,0,0.727433955875143,0,0,0,0,0,1,1,2,1.00271663509714,1074.2989050457,1044.08077647885
2021-04-29,2021-05-01,1,0,"BS",0,NA,2,NA,0.668,0,0.932011075387329,0,0,0,0,0,1,1,3,0.999665797762228,923.351257510639,909.788174063094
2021-04-30,2021-05-01,1,0,"BS",0,NA,1,NA,0.732,0,1.0243169554514,0,0,0,0,0,1,1,3,1.00033663965284,1109.97181105662,1037.23762217156
2021-05-01,2021-05-01,1,0,"BS",0,NA,0,NA,0.865,1,1.07886001823172,1.4826,0,0,0,1,1,2,3,0.998782026993525,1024.28548221092,1045.57117632858
2021-04-23,2021-05-02,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-04-24,2021-05-02,1,0,"BS",0,NA,8,NA,0.03,0,0.176440163033055,0,0,0,0,0,0,0,0,1.00097292186163,848.15927410826,862.55557468223
2021-04-25,2021-05-02,1,1,"BS",1,1,7,0,1.053,1,0.2329060867501,0,1,1,1,1,1,1,2,1.00124693744552,991.639599613304,985.986219402812
2021-04-26,2021-05-02,1,0,"BS",0,NA,6,NA,0.105,0,0.328759917087049,0,0,0,0,0,0,0,1,1.00111780398235,978.46212670337,997.267773013545
2021-04-27,2021-05-02,1,0,"BS",0,NA,5,NA,0.271,0,0.542081961379322,0,0,0,0,0,0,1,1,0.998754627502167,813.717293230099,613.263813879683
2021-04-28,2021-05-02,1,0,"BS",0,NA,4,NA,0.482,0,0.801447639161984,0,0,0,0,0,1,1,2,0.998228956931222,1049.6234831041,1035.25147059306
2021-04-29,2021-05-02,1,0,"BS",0,NA,3,NA,0.663,0,0.907885045176566,0,0,0,0,0,1,1,2,1.0021650696016,893.978860213216,903.759111695517
2021-04-30,2021-05-02,1,0,"BS",0,NA,2,NA,0.7,0,0.912596752587271,0,0,0,0,0,1,1,3,1.00080676637125,967.882847484523,1025.83410308106
2021-05-01,2021-05-02,1,0,"BS",0,NA,1,NA,0.742,0,0.979998161425008,0,0,0,0,0,1,1,3,1.00363435932407,990.401381342822,1017.16473949298
2021-05-02,2021-05-02,1,0,"BS",0,NA,0,NA,0.795,0,1.04884463819723,0,0,0,0,0,1,1,3,1.00061171949881,900.023273745568,908.887252483224
2021-04-24,2021-05-03,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-04-25,2021-05-03,1,1,"BS",1,1,8,0,1.024,1,0.1531255937048,0,1,1,1,1,1,1,1,1.00073224219875,849.92825504123,849.92825504123
2021-04-26,2021-05-03,1,0,"BS",0,NA,7,NA,0.046,0,0.209589904165081,0,0,0,0,0,0,0,0,1.0000032912727,972.328392411483,972.328392411484
2021-04-27,2021-05-03,1,0,"BS",0,NA,6,NA,0.108,0,0.329309040939426,0,0,0,0,0,0,0,1,1.00128550911437,1072.63812960957,1018.22324670567
2021-04-28,2021-05-03,1,0,"BS",0,NA,5,NA,0.195,0,0.468181796094417,0,0,0,0,0,0,0,1,0.998748958006209,1188.58067883253,1055.28362840211
2021-04-29,2021-05-03,1,0,"BS",0,NA,4,NA,0.282,0,0.55748254393011,0,0,0,0,0,0,1,1,1.0009720687524,967.076722491192,967.584805461629
2021-04-30,2021-05-03,1,0,"BS",0,NA,3,NA,0.415,0,0.690834460816955,0,0,0,0,0,0,1,2,1.00017600538896,968.640897350018,920.358080758003
2021-05-01,2021-05-03,1,1,"BS",1,1,2,1,1.507,1,0.764549236828823,0,1,1,1,1,2,2,3,0.998568887550205,1081.80710544581,1032.26388131067
2021-05-02,2021-05-03,1,0,"BS",0,NA,1,NA,0.645,0,0.921859438756704,0,0,0,0,0,1,1,2,0.998869822165997,1076.30425212025,998.028546175478
2021-05-03,2021-05-03,1,0,"BS",0,NA,0,NA,0.744,0,0.960930479997064,0,0,0,0,0,1,1,3,1.00139428594457,987.956534547886,937.131832609408
2021-04-25,2021-05-04,1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-04-26,2021-05-04,1,0,"BS",0,NA,8,NA,0.024,0,0.1531255937048,0,0,0,0,0,0,0,0,1.00141814993516,1056.97258466531,1056.97258466531
2021-04-27,2021-05-04,1,0,"BS",0,NA,7,NA,0.056,0,0.246829748865336,0,0,0,0,0,0,0,1,1.00023605820214,997.844638219178,989.338988721694
2021-04-28,2021-05-04,1,0,"BS",0,NA,6,NA,0.137,0,0.382592965666356,0,0,0,0,0,0,0,1,1.00165273645452,801.587649616272,797.203213594005
2021-04-29,2021-05-04,1,0,"BS",0,NA,5,NA,0.196,0,0.46883238348455,0,0,0,0,0,0,0,1,0.998988757113519,946.170385992448,880.447241745657
2021-04-30,2021-05-04,1,1,"BS",1,1,4,1,1.274,1,0.559676010953871,0,1,1,1,1,1,2,2,0.999375005443361,1044.50515399952,1065.45571122688
2021-05-01,2021-05-04,1,3,"BS",3,1,3,0.666666666666667,3.368,3,0.651921008252534,0,3,3,3,3,3,4,5,0.998594712843522,1030.45437579697,640.224215793883
2021-05-02,2021-05-04,1,0,"BS",0,NA,2,NA,0.63,0,0.942331145610707,0,0,0,0,0,1,1,2,1.00050049249646,975.969480979705,904.102426272302
2021-05-03,2021-05-04,1,0,"BS",0,NA,1,NA,0.819,1,0.983466423527619,1.4826,0,0,0,1,1,1,3,1.00070033421764,1083.2635894722,966.009271350507
2021-05-04,2021-05-04,1,0,"BS",0,NA,0,NA,0.985,1,1.13669128045704,1.4826,0,0,0,1,1,2,3,1.00023635984745,1031.57066597171,1060.42231856258
2021-04-26,2021-05-05,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-04-27,2021-05-05,1,0,"BS",0,NA,8,NA,0.026,0,0.159214789983058,0,0,0,0,0,0,0,0,0.998944713669404,1064.57415672947,1064.57415672947
2021-04-28,2021-05-05,1,0,"BS",0,NA,7,NA,0.056,0,0.246829748865336,0,0,0,0,0,0,0,1,0.998942988980936,820.42053798686,828.247647530303
2021-04-29,2021-05-05,1,0,"BS",0,NA,6,NA,0.098,0,0.320153866911675,0,0,0,0,0,0,0,1,1.00258651966981,976.44080561512,998.591825250626
2021-04-30,2021-05-05,1,1,"BS",1,1,5,0,1.113,1,0.349790442055459,0,1,1,1,1,1,1,2,1.00128357257097,868.5540224003,839.549864471967
2021-05-01,2021-05-05,1,3,"BS",3,1,4,0,3.175,3,0.458896050958804,0,3,3,3,3,3,3,4,0.999802587361528,977.934826366341,800.970388244441
2021-05-02,2021-05-05,1,0,"BS",0,NA,3,NA,0.335,0,0.605922554574545,0,0,0,0,0,0,1,2,0.998447193699152,988.051131639529,955.135091020907
2021-05-03,2021-05-05,1,2,"BS",2,1,2,1,2.607,2,0.908502270980308,0,2,2,2,2,3,3,4,0.999302208432788,978.575201005997,985.496140575817
2021-05-04,2021-05-05,1,0,"BS",0,NA,1,NA,0.929,1,1.06915953070723,1.4826,0,0,0,1,1,2,3,0.999681708385115,918.007165988833,890.84869023057
2021-05-05,2021-05-05,1,0,"BS",0,NA,0,NA,1,1,1.15122774694034,1.4826,0,0,0,1,1,2,3,1.00209043703745,1251.44515905913,920.386270220699
2021-04-27,2021-05-06,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-04-28,2021-05-06,1,0,"BS",0,NA,8,NA,0.022,0,0.146756729104793,0,0,0,0,0,0,0,0,0.999112455294209,1054.91611227047,1054.91611227047
2021-04-29,2021-05-06,1,0,"BS",0,NA,7,NA,0.029,0,0.179419037984243,0,0,0,0,0,0,0,0,0.999218639199522,967.617174517767,1005.96783760493
2021-04-30,2021-05-06,1,1,"BS",1,1,6,0,1.05,1,0.222597281091997,0,1,1,1,1,1,1,1,1.00015748598802,945.674369282295,941.619679741756
2021-05-01,2021-05-06,1,3,"BS",3,1,5,0,3.061,3,0.243594618861621,0,3,3,3,3,3,3,4,0.99982758960487,1109.71017439406,1008.09703538824
2021-05-02,2021-05-06,1,0,"BS",0,NA,4,NA,0.109,0,0.342397774870451,0,0,0,0,0,0,0,1,0.998832907935461,1039.15743584333,1015.80242219648
2021-05-03,2021-05-06,1,2,"BS",2,1,3,0,2.26,2,0.526000643228387,0,2,2,2,2,2,3,3,1.00017880897032,1057.54577511352,975.846253557263
2021-05-04,2021-05-06,1,0,"BS",0,NA,2,NA,0.543,0,0.839556940210642,0,0,0,0,0,1,1,2,0.999758832110873,1009.2275588968,942.907835571669
2021-05-05,2021-05-06,1,0,"BS",0,NA,1,NA,0.774,1,0.961170041068617,1.4826,0,0,0,1,1,1,3,1.00002367725721,1050.74864356041,876.094955384198
2021-05-06,2021-05-06,1,0,"BS",0,NA,0,NA,0.897,1,1.07682428954335,1.4826,0,0,0,1,1,2,3,1.00031625786811,1056.86589144852,882.357169990043
2021-04-28,2021-05-07,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-04-29,2021-05-07,1,0,"BS",0,NA,8,NA,0.028,0,0.171012412547292,0,0,0,0,0,0,0,0,0.998498017835523,1061.38247640494,1060.37902252336
2021-04-30,2021-05-07,1,1,"BS",1,1,7,0,1.021,1,0.150271692549134,0,1,1,1,1,1,1,1,0.998688563770367,919.137011501343,948.925514160187
2021-05-01,2021-05-07,1,3,"BS",3,1,6,0,3.043,3,0.217251463051916,0,3,3,3,3,3,3,3,1.00637251294411,974.279252830441,965.104160367994
2021-05-02,2021-05-07,1,0,"BS",0,NA,5,NA,0.069,0,0.268907625982067,0,0,0,0,0,0,0,1,1.00155974606248,799.335518203485,767.216637380162
2021-05-03,2021-05-07,1,2,"BS",2,1,4,0,2.138,2,0.383540223579096,0,2,2,2,2,2,2,3,0.998232965305834,979.688555035115,1003.28851907861
2021-05-04,2021-05-07,1,1,"BS",1,1,3,1,1.327,1,0.611919476275633,0,1,1,1,1,1,2,2,0.999672664045585,896.423653226293,875.331418694377
2021-05-05,2021-05-07,1,1,"BS",1,1,2,1,1.654,1,0.910556485405004,0,1,1,1,1,2,2,3,0.999998900888091,993.769880112108,963.43760750917
2021-05-06,2021-05-07,1,0,"BS",0,NA,1,NA,0.897,1,1.17122276393638,1.4826,0,0,0,1,1,2,3,1.00007787560013,997.177300911341,1008.81447109809
2021-05-07,2021-05-07,1,0,"BS",0,NA,0,NA,1.042,1,1.19819517261241,1.4826,0,0,0,1,1,2,3,1.0023566914932,914.481548857425,862.99897594596
2021-04-29,2021-05-08,1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-04-30,2021-05-08,1,1,"BS",1,1,8,0,1.024,1,0.1531255937048,0,1,1,1,1,1,1,1,1.00141814993516,1056.97258466531,1056.97258466531
2021-05-01,2021-05-08,1,3,"BS",3,1,7,0,3.039,3,0.203765847286832,0,3,3,3,3,3,3,3,0.998173681646601,930.928283270589,923.013960323072
2021-05-02,2021-05-08,1,0,"BS",0,NA,6,NA,0.073,0,0.260266668512775,0,0,0,0,0,0,0,1,0.998420945284586,1078.24130435489,NA
2021-05-03,2021-05-08,1,2,"BS",2,1,5,0,2.161,2,0.411397919596403,0,2,2,2,2,2,2,3,0.999000648351505,1024.60956337954,1018.78425717526
