"target_end_date","forecast_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
"2021-05-23","2021-06-01",1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
"2021-05-24","2021-06-01",1,0,"BS",0,NA,8,NA,0.027,0,0.162164414398774,0,0,0,0,0,0,0,0,0.998682259351809,984.743342198858,984.743342198858
"2021-05-25","2021-06-01",1,0,"BS",0,NA,7,NA,0.056,0,0.23434785878885,0,0,0,0,0,0,0,1,1.00145143615977,1024.35219942584,1008.09703538824
"2021-05-26","2021-06-01",1,1,"BS",1,1,6,0,1.125,1,0.362638258470485,0,1,1,1,1,1,1,2,0.998197075784988,890.575629963905,833.480033065658
"2021-05-27","2021-06-01",1,0,"BS",0,NA,5,NA,0.127,0,0.378171937105352,0,0,0,0,0,0,0,1,0.998323395069367,988.35251162087,979.806513982014
"2021-05-28","2021-06-01",1,1,"BS",1,1,4,0,1.204,1,0.469685644452334,0,1,1,1,1,1,1,2,0.998659203993067,977.062035654667,803.611443063636
"2021-05-29","2021-06-01",1,0,"BS",0,NA,3,NA,0.258,0,0.53452943952763,0,0,0,0,0,0,1,1,1.00328847305843,971.347782944598,1011.61919293636
"2021-05-30","2021-06-01",1,0,"BS",0,NA,2,NA,0.446,0,0.766597463908975,0,0,0,0,0,0,1,2,1.0008694430038,1044.5235058609,1002.32641685148
"2021-05-31","2021-06-01",1,0,"BS",0,NA,1,NA,0.623,0,0.861169328652973,0,0,0,0,0,1,1,2,1.0000326279284,985.018254954366,947.667678013222
"2021-06-01","2021-06-01",1,0,"BS",0,NA,0,NA,0.734,0,0.928496691489047,0,0,0,0,0,1,1,2,0.998240875316671,1008.84758213603,1002.88691354231
"2021-05-24","2021-06-02",1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"2021-05-25","2021-06-02",1,0,"BS",0,NA,8,NA,0.019,0,0.136593036636783,0,0,0,0,0,0,0,0,0.999535275969326,927.756748436607,927.756748436608
"2021-05-26","2021-06-02",1,1,"BS",1,1,7,0,1.046,1,0.21431269194784,0,1,1,1,1,1,1,1,0.99804112041177,1057.90655569899,1056.89207095237
"2021-05-27","2021-06-02",1,0,"BS",0,NA,6,NA,0.07,0,0.266779255511314,0,0,0,0,0,0,0,1,1.00135813817676,823.034887205891,881.758165634854
"2021-05-28","2021-06-02",1,1,"BS",1,1,5,0,1.067,1,0.265671943534844,0,1,1,1,1,1,1,2,0.998933852243782,900.073938851362,865.654892016128
"2021-05-29","2021-06-02",1,0,"BS",0,NA,4,NA,0.098,0,0.323265371638381,0,0,0,0,0,0,0,1,0.998791454331024,982.794764258745,990.174953195379
"2021-05-30","2021-06-02",1,0,"BS",0,NA,3,NA,0.203,0,0.479605067759945,0,0,0,0,0,0,0,1,1.00017343779992,994.937598534962,940.160000292765
"2021-05-31","2021-06-02",1,0,"BS",0,NA,2,NA,0.331,0,0.622757438194701,0,0,0,0,0,0,1,2,0.999618994626676,868.878741269972,850.499905399817
"2021-06-01","2021-06-02",1,0,"BS",0,NA,1,NA,0.546,0,0.805315175898562,0,0,0,0,0,1,1,2,1.0007512860656,1039.41078042189,961.713785743448
"2021-06-02","2021-06-02",1,0,"BS",0,NA,0,NA,0.634,0,0.962793316849972,0,0,0,0,0,1,1,2,1.00039841407593,986.287671705506,894.563649311063
"2021-05-25","2021-06-03",1,0,"BS",0,NA,9,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"2021-05-26","2021-06-03",1,1,"BS",1,1,8,0,1.009,1,0.0944877131056093,0,1,1,1,1,1,1,1,1.00181702309716,864.887695856562,864.887695856561
"2021-05-27","2021-06-03",1,0,"BS",0,NA,7,NA,0.033,0,0.178725887724591,0,0,0,0,0,0,0,0,0.999396878793175,855.327428693939,855.32742869394
"2021-05-28","2021-06-03",1,1,"BS",1,1,6,0,1.028,1,0.171012412547292,0,1,1,1,1,1,1,1,0.999652494007132,902.521701241977,893.838190082423
"2021-05-29","2021-06-03",1,0,"BS",0,NA,5,NA,0.048,0,0.218503418151167,0,0,0,0,0,0,0,0,0.998950638127673,889.426904901584,924.161394360849
"2021-05-30","2021-06-03",1,0,"BS",0,NA,4,NA,0.07,0,0.266779255511314,0,0,0,0,0,0,0,1,0.998341280109085,971.236320233667,961.520827239751
"2021-05-31","2021-06-03",1,0,"BS",0,NA,3,NA,0.201,0,0.463480111562313,0,0,0,0,0,0,0,1,0.999681321712175,1031.60977490163,1062.17322711942
"2021-06-01","2021-06-03",1,0,"BS",0,NA,2,NA,0.374,0,0.666759753260924,0,0,0,0,0,0,1,2,0.998860644600218,915.761696537446,880.783267154975
"2021-06-02","2021-06-03",1,1,"BS",1,1,1,1,1.624,1,0.866819113411429,0,1,1,1,1,2,2,3,1.00091792387581,1077.64452128367,992.226341660903
"2021-06-03","2021-06-03",1,0,"BS",0,NA,0,NA,0.686,0,0.955152509454022,0,0,0,0,0,1,1,2,1.00015561126371,868.686271659756,795.195901625021
"2021-05-26","2021-06-04",1,1,"BS",1,1,9,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
