"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"BS",2021-06-11,2021-06-02,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-03,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-04,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-05,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-06,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-07,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-08,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-09,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-10,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-11,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-02,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-03,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-04,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-05,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-06,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-07,"quantile",0.2,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-08,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-09,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-10,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-11,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-02,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-03,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-04,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-05,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-06,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-07,"quantile",0.35,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-08,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-09,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-10,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-11,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-02,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-03,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-04,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-05,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-06,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-07,"quantile",0.5,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-08,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-09,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-10,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-11,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-02,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-03,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-06-11,2021-06-04,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-05,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-06,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-06-11,2021-06-07,"quantile",0.65,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-08,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-06-11,2021-06-09,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
