"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"BS",2021-03-01,2021-02-20,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-22,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-23,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-24,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-25,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-26,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-27,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-28,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-03-01,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-02-20,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-22,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-23,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-24,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-25,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-26,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-27,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-28,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-03-01,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-02-20,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-22,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-23,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-24,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-25,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-26,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-27,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-28,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-03-01,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-02-20,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-22,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-23,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-24,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-25,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-26,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-27,"quantile",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-28,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-03-01,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-02-20,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-22,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-23,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-24,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-25,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-26,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-27,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-28,"quantile",0.65,0,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-03-01,"quantile",0.65,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-02-20,"quantile",0.8,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-22,"quantile",0.8,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-23,"quantile",0.8,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-24,"quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-25,"quantile",0.8,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-26,"quantile",0.8,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-27,"quantile",0.8,2,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-28,"quantile",0.8,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-03-01,"quantile",0.8,1,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-02-20,"quantile",0.95,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"quantile",0.95,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-22,"quantile",0.95,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-23,"quantile",0.95,2,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-24,"quantile",0.95,1,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-25,"quantile",0.95,1,"COVID-19","Epiforecast",FALSE,0
"BS",2021-03-01,2021-02-26,"quantile",0.95,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-27,"quantile",0.95,3,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-28,"quantile",0.95,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-03-01,"quantile",0.95,2,"COVID-19","Epiforecast",FALSE,2
"BS",2021-03-01,2021-02-20,"median",0.5,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-03-01,2021-02-21,"median",0.5,0,"COVID-19","Epiforecast",FALSE,0
