"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"BS",2021-05-01,2021-04-22,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-23,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-24,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-25,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-05-01,2021-04-26,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-27,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-28,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-29,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-30,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-05-01,2021-05-01,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,3
"BS",2021-05-01,2021-04-22,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-23,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-24,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-25,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-05-01,2021-04-26,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-27,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-28,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-29,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-30,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-05-01,2021-05-01,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,3
"BS",2021-05-01,2021-04-22,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-23,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-24,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-25,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
"BS",2021-05-01,2021-04-26,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-27,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-28,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-29,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,0
"BS",2021-05-01,2021-04-30,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,1
"BS",2021-05-01,2021-05-01,"quantile",0.35,0,"COVID-19","Epiforecast",FALSE,3
"BS",2021-05-01,2021-04-22,"quantile",0.5,0,"COVID-19","Epiforecast",FALSE,0
