"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"CH",2021-04-01,2021-02-25,"quantile",0.05,48,"COVID-19","Epiforecast",FALSE,49
"CH",2021-04-01,2021-02-26,"quantile",0.05,33,"COVID-19","Epiforecast",FALSE,33
"CH",2021-04-01,2021-02-27,"quantile",0.05,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-02-28,"quantile",0.05,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-03-01,"quantile",0.05,43,"COVID-19","Epiforecast",FALSE,42
"CH",2021-04-01,2021-03-02,"quantile",0.05,52,"COVID-19","Epiforecast",FALSE,52
"CH",2021-04-01,2021-03-03,"quantile",0.05,54,"COVID-19","Epiforecast",FALSE,54
"CH",2021-04-01,2021-03-04,"quantile",0.05,39,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-05,"quantile",0.05,48,"COVID-19","Epiforecast",FALSE,48
"CH",2021-04-01,2021-03-06,"quantile",0.05,38,"COVID-19","Epiforecast",FALSE,41
"CH",2021-04-01,2021-03-07,"quantile",0.05,39,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-08,"quantile",0.05,60,"COVID-19","Epiforecast",FALSE,62
"CH",2021-04-01,2021-03-09,"quantile",0.05,38,"COVID-19","Epiforecast",FALSE,38
"CH",2021-04-01,2021-03-10,"quantile",0.05,51,"COVID-19","Epiforecast",FALSE,55
"CH",2021-04-01,2021-03-11,"quantile",0.05,44,"COVID-19","Epiforecast",FALSE,45
"CH",2021-04-01,2021-03-12,"quantile",0.05,48,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-13,"quantile",0.05,39,"COVID-19","Epiforecast",FALSE,40
"CH",2021-04-01,2021-03-14,"quantile",0.05,48,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-15,"quantile",0.05,66,"COVID-19","Epiforecast",FALSE,70
"CH",2021-04-01,2021-03-16,"quantile",0.05,50,"COVID-19","Epiforecast",FALSE,53
"CH",2021-04-01,2021-03-17,"quantile",0.05,49,"COVID-19","Epiforecast",FALSE,52
"CH",2021-04-01,2021-03-18,"quantile",0.05,53,"COVID-19","Epiforecast",FALSE,62
"CH",2021-04-01,2021-03-19,"quantile",0.05,59,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-20,"quantile",0.05,45,"COVID-19","Epiforecast",FALSE,47
"CH",2021-04-01,2021-03-21,"quantile",0.05,40,"COVID-19","Epiforecast",FALSE,45
"CH",2021-04-01,2021-03-22,"quantile",0.05,62,"COVID-19","Epiforecast",FALSE,63
"CH",2021-04-01,2021-03-23,"quantile",0.05,49,"COVID-19","Epiforecast",FALSE,50
"CH",2021-04-01,2021-03-24,"quantile",0.05,59,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-25,"quantile",0.05,55,"COVID-19","Epiforecast",FALSE,65
"CH",2021-04-01,2021-03-26,"quantile",0.05,59,"COVID-19","Epiforecast",FALSE,72
"CH",2021-04-01,2021-03-27,"quantile",0.05,61,"COVID-19","Epiforecast",FALSE,73
"CH",2021-04-01,2021-03-28,"quantile",0.05,47,"COVID-19","Epiforecast",FALSE,56
"CH",2021-04-01,2021-03-29,"quantile",0.05,66,"COVID-19","Epiforecast",FALSE,78
"CH",2021-04-01,2021-03-30,"quantile",0.05,57,"COVID-19","Epiforecast",FALSE,76
"CH",2021-04-01,2021-03-31,"quantile",0.05,42.95,"COVID-19","Epiforecast",FALSE,73
"CH",2021-04-01,2021-04-01,"quantile",0.05,37,"COVID-19","Epiforecast",FALSE,74
"CH",2021-04-01,2021-02-25,"quantile",0.2,48,"COVID-19","Epiforecast",FALSE,49
"CH",2021-04-01,2021-02-26,"quantile",0.2,33,"COVID-19","Epiforecast",FALSE,33
"CH",2021-04-01,2021-02-27,"quantile",0.2,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-02-28,"quantile",0.2,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-04-01,2021-03-01,"quantile",0.2,43,"COVID-19","Epiforecast",FALSE,42
"CH",2021-04-01,2021-03-02,"quantile",0.2,52,"COVID-19","Epiforecast",FALSE,52
"CH",2021-04-01,2021-03-03,"quantile",0.2,54,"COVID-19","Epiforecast",FALSE,54
"CH",2021-04-01,2021-03-04,"quantile",0.2,39,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-05,"quantile",0.2,48,"COVID-19","Epiforecast",FALSE,48
"CH",2021-04-01,2021-03-06,"quantile",0.2,38,"COVID-19","Epiforecast",FALSE,41
"CH",2021-04-01,2021-03-07,"quantile",0.2,39,"COVID-19","Epiforecast",FALSE,39
"CH",2021-04-01,2021-03-08,"quantile",0.2,60,"COVID-19","Epiforecast",FALSE,62
