"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"CH",2021-02-01,2020-12-28,"quantile",0.05,209,"COVID-19","Epiforecast",FALSE,208
"CH",2021-02-01,2020-12-29,"quantile",0.05,145,"COVID-19","Epiforecast",FALSE,145
"CH",2021-02-01,2020-12-30,"quantile",0.05,159,"COVID-19","Epiforecast",FALSE,158
"CH",2021-02-01,2020-12-31,"quantile",0.05,129,"COVID-19","Epiforecast",FALSE,129
"CH",2021-02-01,2021-01-01,"quantile",0.05,124,"COVID-19","Epiforecast",FALSE,126
"CH",2021-02-01,2021-01-02,"quantile",0.05,164,"COVID-19","Epiforecast",FALSE,166
"CH",2021-02-01,2021-01-03,"quantile",0.05,130,"COVID-19","Epiforecast",FALSE,130
"CH",2021-02-01,2021-01-04,"quantile",0.05,174,"COVID-19","Epiforecast",FALSE,178
"CH",2021-02-01,2021-01-05,"quantile",0.05,130,"COVID-19","Epiforecast",FALSE,130
"CH",2021-02-01,2021-01-06,"quantile",0.05,117,"COVID-19","Epiforecast",FALSE,119
"CH",2021-02-01,2021-01-07,"quantile",0.05,135,"COVID-19","Epiforecast",FALSE,140
"CH",2021-02-01,2021-01-08,"quantile",0.05,118,"COVID-19","Epiforecast",FALSE,126
"CH",2021-02-01,2021-01-09,"quantile",0.05,103,"COVID-19","Epiforecast",FALSE,107
"CH",2021-02-01,2021-01-10,"quantile",0.05,74,"COVID-19","Epiforecast",FALSE,79
"CH",2021-02-01,2021-01-11,"quantile",0.05,118,"COVID-19","Epiforecast",FALSE,121
"CH",2021-02-01,2021-01-12,"quantile",0.05,90,"COVID-19","Epiforecast",FALSE,97
"CH",2021-02-01,2021-01-13,"quantile",0.05,108,"COVID-19","Epiforecast",FALSE,115
"CH",2021-02-01,2021-01-14,"quantile",0.05,85,"COVID-19","Epiforecast",FALSE,93
"CH",2021-02-01,2021-01-15,"quantile",0.05,88,"COVID-19","Epiforecast",FALSE,92
"CH",2021-02-01,2021-01-16,"quantile",0.05,74,"COVID-19","Epiforecast",FALSE,78
"CH",2021-02-01,2021-01-17,"quantile",0.05,58,"COVID-19","Epiforecast",FALSE,61
"CH",2021-02-01,2021-01-18,"quantile",0.05,96,"COVID-19","Epiforecast",FALSE,107
"CH",2021-02-01,2021-01-19,"quantile",0.05,77,"COVID-19","Epiforecast",FALSE,84
"CH",2021-02-01,2021-01-20,"quantile",0.05,67,"COVID-19","Epiforecast",FALSE,80
"CH",2021-02-01,2021-01-21,"quantile",0.05,71,"COVID-19","Epiforecast",FALSE,78
"CH",2021-02-01,2021-01-22,"quantile",0.05,68,"COVID-19","Epiforecast",FALSE,83
"CH",2021-02-01,2021-01-23,"quantile",0.05,35,"COVID-19","Epiforecast",FALSE,40
"CH",2021-02-01,2021-01-24,"quantile",0.05,32,"COVID-19","Epiforecast",FALSE,35
"CH",2021-02-01,2021-01-25,"quantile",0.05,59,"COVID-19","Epiforecast",FALSE,70
"CH",2021-02-01,2021-01-26,"quantile",0.05,69,"COVID-19","Epiforecast",FALSE,82
"CH",2021-02-01,2021-01-27,"quantile",0.05,65,"COVID-19","Epiforecast",FALSE,65
"CH",2021-02-01,2021-01-28,"quantile",0.05,66,"COVID-19","Epiforecast",FALSE,65
"CH",2021-02-01,2021-01-29,"quantile",0.05,56,"COVID-19","Epiforecast",FALSE,54
"CH",2021-02-01,2021-01-30,"quantile",0.05,34,"COVID-19","Epiforecast",FALSE,52
"CH",2021-02-01,2021-01-31,"quantile",0.05,38,"COVID-19","Epiforecast",FALSE,40
"CH",2021-02-01,2021-02-01,"quantile",0.05,37,"COVID-19","Epiforecast",FALSE,67
"CH",2021-02-01,2020-12-28,"quantile",0.2,209,"COVID-19","Epiforecast",FALSE,208
"CH",2021-02-01,2020-12-29,"quantile",0.2,145,"COVID-19","Epiforecast",FALSE,145
"CH",2021-02-01,2020-12-30,"quantile",0.2,159,"COVID-19","Epiforecast",FALSE,158
"CH",2021-02-01,2020-12-31,"quantile",0.2,129,"COVID-19","Epiforecast",FALSE,129
"CH",2021-02-01,2021-01-01,"quantile",0.2,124,"COVID-19","Epiforecast",FALSE,126
"CH",2021-02-01,2021-01-02,"quantile",0.2,164,"COVID-19","Epiforecast",FALSE,166
"CH",2021-02-01,2021-01-03,"quantile",0.2,130,"COVID-19","Epiforecast",FALSE,130
"CH",2021-02-01,2021-01-04,"quantile",0.2,175,"COVID-19","Epiforecast",FALSE,178
"CH",2021-02-01,2021-01-05,"quantile",0.2,131,"COVID-19","Epiforecast",FALSE,130
"CH",2021-02-01,2021-01-06,"quantile",0.2,118,"COVID-19","Epiforecast",FALSE,119
"CH",2021-02-01,2021-01-07,"quantile",0.2,136,"COVID-19","Epiforecast",FALSE,140
"CH",2021-02-01,2021-01-08,"quantile",0.2,119,"COVID-19","Epiforecast",FALSE,126
"CH",2021-02-01,2021-01-09,"quantile",0.2,104,"COVID-19","Epiforecast",FALSE,107
"CH",2021-02-01,2021-01-10,"quantile",0.2,75,"COVID-19","Epiforecast",FALSE,79
"CH",2021-02-01,2021-01-11,"quantile",0.2,119,"COVID-19","Epiforecast",FALSE,121
"CH",2021-02-01,2021-01-12,"quantile",0.2,91,"COVID-19","Epiforecast",FALSE,97
"CH",2021-02-01,2021-01-13,"quantile",0.2,109.8,"COVID-19","Epiforecast",FALSE,115
"CH",2021-02-01,2021-01-14,"quantile",0.2,87,"COVID-19","Epiforecast",FALSE,93
"CH",2021-02-01,2021-01-15,"quantile",0.2,89,"COVID-19","Epiforecast",FALSE,92
"CH",2021-02-01,2021-01-16,"quantile",0.2,75,"COVID-19","Epiforecast",FALSE,78
"CH",2021-02-01,2021-01-17,"quantile",0.2,59,"COVID-19","Epiforecast",FALSE,61
"CH",2021-02-01,2021-01-18,"quantile",0.2,98,"COVID-19","Epiforecast",FALSE,107
"CH",2021-02-01,2021-01-19,"quantile",0.2,79,"COVID-19","Epiforecast",FALSE,84
