"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"CH",2021-06-01,2021-04-27,"quantile",0.05,70,"COVID-19","Epiforecast",FALSE,69
"CH",2021-06-01,2021-04-28,"quantile",0.05,62,"COVID-19","Epiforecast",FALSE,62
"CH",2021-06-01,2021-04-29,"quantile",0.05,62,"COVID-19","Epiforecast",FALSE,62
"CH",2021-06-01,2021-04-30,"quantile",0.05,57,"COVID-19","Epiforecast",FALSE,57
"CH",2021-06-01,2021-05-01,"quantile",0.05,61,"COVID-19","Epiforecast",FALSE,61
"CH",2021-06-01,2021-05-02,"quantile",0.05,36,"COVID-19","Epiforecast",FALSE,37
"CH",2021-06-01,2021-05-03,"quantile",0.05,62,"COVID-19","Epiforecast",FALSE,62
"CH",2021-06-01,2021-05-04,"quantile",0.05,44,"COVID-19","Epiforecast",FALSE,45
"CH",2021-06-01,2021-05-05,"quantile",0.05,50,"COVID-19","Epiforecast",FALSE,52
"CH",2021-06-01,2021-05-06,"quantile",0.05,44,"COVID-19","Epiforecast",FALSE,44
"CH",2021-06-01,2021-05-07,"quantile",0.05,44,"COVID-19","Epiforecast",FALSE,44
"CH",2021-06-01,2021-05-08,"quantile",0.05,34,"COVID-19","Epiforecast",FALSE,35
"CH",2021-06-01,2021-05-09,"quantile",0.05,43,"COVID-19","Epiforecast",FALSE,43
"CH",2021-06-01,2021-05-10,"quantile",0.05,39,"COVID-19","Epiforecast",FALSE,39
"CH",2021-06-01,2021-05-11,"quantile",0.05,39,"COVID-19","Epiforecast",FALSE,40
"CH",2021-06-01,2021-05-12,"quantile",0.05,34,"COVID-19","Epiforecast",FALSE,34
"CH",2021-06-01,2021-05-13,"quantile",0.05,28,"COVID-19","Epiforecast",FALSE,28
"CH",2021-06-01,2021-05-14,"quantile",0.05,29,"COVID-19","Epiforecast",FALSE,29
"CH",2021-06-01,2021-05-15,"quantile",0.05,28,"COVID-19","Epiforecast",FALSE,28
"CH",2021-06-01,2021-05-16,"quantile",0.05,25,"COVID-19","Epiforecast",FALSE,26
"CH",2021-06-01,2021-05-17,"quantile",0.05,36,"COVID-19","Epiforecast",FALSE,40
"CH",2021-06-01,2021-05-18,"quantile",0.05,35,"COVID-19","Epiforecast",FALSE,37
"CH",2021-06-01,2021-05-19,"quantile",0.05,46,"COVID-19","Epiforecast",FALSE,47
"CH",2021-06-01,2021-05-20,"quantile",0.05,33,"COVID-19","Epiforecast",FALSE,34
"CH",2021-06-01,2021-05-21,"quantile",0.05,30,"COVID-19","Epiforecast",FALSE,30
"CH",2021-06-01,2021-05-22,"quantile",0.05,25,"COVID-19","Epiforecast",FALSE,24
"CH",2021-06-01,2021-05-23,"quantile",0.05,26,"COVID-19","Epiforecast",FALSE,30
"CH",2021-06-01,2021-05-24,"quantile",0.05,14,"COVID-19","Epiforecast",FALSE,14
"CH",2021-06-01,2021-05-25,"quantile",0.05,25,"COVID-19","Epiforecast",FALSE,25
"CH",2021-06-01,2021-05-26,"quantile",0.05,25,"COVID-19","Epiforecast",FALSE,26
"CH",2021-06-01,2021-05-27,"quantile",0.05,20,"COVID-19","Epiforecast",FALSE,23
"CH",2021-06-01,2021-05-28,"quantile",0.05,19,"COVID-19","Epiforecast",FALSE,22
"CH",2021-06-01,2021-05-29,"quantile",0.05,14,"COVID-19","Epiforecast",FALSE,18
"CH",2021-06-01,2021-05-30,"quantile",0.05,16.95,"COVID-19","Epiforecast",FALSE,11
"CH",2021-06-01,2021-05-31,"quantile",0.05,13,"COVID-19","Epiforecast",FALSE,20
"CH",2021-06-01,2021-06-01,"quantile",0.05,12,"COVID-19","Epiforecast",FALSE,19
"CH",2021-06-01,2021-04-27,"quantile",0.2,70,"COVID-19","Epiforecast",FALSE,69
"CH",2021-06-01,2021-04-28,"quantile",0.2,62,"COVID-19","Epiforecast",FALSE,62
"CH",2021-06-01,2021-04-29,"quantile",0.2,62,"COVID-19","Epiforecast",FALSE,62
"CH",2021-06-01,2021-04-30,"quantile",0.2,57,"COVID-19","Epiforecast",FALSE,57
"CH",2021-06-01,2021-05-01,"quantile",0.2,61,"COVID-19","Epiforecast",FALSE,61
