"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-01-25,2021-03-01,1,70,"CH",70,1,35,0,71,71,0,0,71,71,71,71,71,71,71,NA,NA,NA
2021-01-26,2021-03-01,1,82,"CH",82,1,34,0,82.388,82,0.649521268225974,0,82,82,82,82,82,83,84,1.00428499298075,911.452387560054,884.673639077565
2021-01-27,2021-03-01,1,65,"CH",65,1,33,0,65.566,65,0.815051107789142,0,65,65,65,65,66,66,67,1.0002181334858,879.627184785887,734.703302717673
2021-01-28,2021-03-01,1,63,"CH",63,1,32,0,63.683,63,0.825343681257809,0,63,63,63,63,64,64,65,1.0002276097786,840.100907325041,773.003395108945
2021-01-29,2021-03-01,1,54,"CH",54,1,31,0,54.654,54,0.858499284228601,0,54,54,54,54,55,55,56,0.999346460497185,967.331885841604,972.604163906011
2021-01-30,2021-03-01,1,52,"CH",52,1,30,0,53.608,53,0.799359102640969,0,53,53,53,53,54,54,55,0.999458391045776,1007.41587201856,960.533962524249
2021-01-31,2021-03-01,1,39,"CH",39,1,29,0,39.696,39,0.896877019656758,0,39,39,39,39,40,40,41,0.999125259956285,988.129386310639,932.395828634805
2021-02-01,2021-03-01,1,67,"CH",67,1,28,0,67.842,68,0.938038333926666,1.4826,67,67,67,68,68,68,70,1.00227342388229,908.532235876248,983.612631950673
2021-02-02,2021-03-01,1,57,"CH",57,1,27,0,58.071,58,1.06728538737214,1.4826,57,57,57.65,58,58,59,60,0.999777033487302,1095.54577645334,921.115836598292
2021-02-03,2021-03-01,1,56,"CH",56,1,26,0,57.177,57,1.12380333418883,1.4826,56,56,57,57,57,58,59,1.00017868346929,992.793060761581,911.063542209359
2021-02-04,2021-03-01,1,54,"CH",54,1,25,0,55.281,55,1.22128233039315,1.4826,54,54,55,55,56,56,58,0.999909348428108,960.68066875255,901.552620395141
2021-02-05,2021-03-01,1,48,"CH",48,1,24,0.0208333333333333,49.194,49,1.13209789578713,1.4826,48,48,49,49,49,50,51,1.00106388231276,749.75897462887,904.745171994795
2021-02-06,2021-03-01,1,47,"CH",47,1,23,0,49.138,49,1.05644312297069,1.4826,48,48,49,49,49,50,51,1.00031154367485,1022.66381841091,958.27868967542
2021-02-07,2021-03-01,1,44,"CH",44,1,22,0,45.257,45,1.18927093858606,1.4826,44,44,45,45,45,46,47,0.999992720049498,982.014843037163,1009.90696327481
2021-02-08,2021-03-01,1,53,"CH",53,1,21,0,54.489,54,1.23992597215173,1.4826,53,53,54,54,55,55,57,0.999197048988231,1065.36208011061,1045.90375448917
2021-02-09,2021-03-01,1,37,"CH",37,1,20,0,38.83,39,1.3707585414576,1.4826,37,38,38,39,39,40,41,0.998952670990293,1047.65010060036,1097.54060392424
