"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-03-27,2021-05-01,1,73,"CH",73,1,35,0,73,73,0,0,73,73,73,73,73,73,73,NA,NA,NA
2021-03-28,2021-05-01,1,56,"CH",56,1,34,0,57.506,57,0.774961008415626,0,57,57,57,57,58,58,59,0.998839156840293,1029.48792514764,910.676780241123
2021-03-29,2021-05-01,1,78,"CH",78,1,33,0,78.688,78,0.917331727074507,0,78,78,78,78,79,79,80,0.999778614474702,961.789110292044,978.326129540764
2021-03-30,2021-05-01,1,76,"CH",76,1,32,0,76.936,77,1.00045235014213,1.4826,76,76,76,77,77,78,79,0.999878649380483,946.119001706371,1011.28284626985
2021-03-31,2021-05-01,1,73,"CH",73,1,31,0,74.116,74,1.15233322952689,1.4826,73,73,74,74,74,75,76,1.00025617321987,1057.45809971267,978.125815289149
2021-04-01,2021-05-01,1,73,"CH",73,1,30,0,74.204,74,1.15226373357479,1.4826,73,73,74,74,74,75,76,0.999428550426525,990.555463107774,1009.42359430846
2021-04-02,2021-05-01,1,67,"CH",67,1,29,0,68.112,68,1.08841198111774,1.4826,67,67,68,68,68,69,70,1.00429599940531,878.468165628331,883.804515951043
2021-04-03,2021-05-01,1,77,"CH",77,1,28,0,78.106,78,1.06766282313467,1.4826,77,77,78,78,78,79,80,1.00119727349524,1005.07651337985,991.870684074264
2021-04-04,2021-05-01,1,76,"CH",76,1,27,0,77.124,77,1.09170317202792,1.4826,76,76,77,77,77,78,79,1.00073257939138,1168.67107799459,907.945654317068
2021-04-05,2021-05-01,1,68,"CH",68,1,26,0,69.32,69,1.23576985200608,1.4826,68,68,69,69,70,70,72,1.00391005367146,992.778714897925,939.958513864698
2021-04-06,2021-05-01,1,85,"CH",85,1,25,0,86.631,86,1.34187914494549,1.4826,85,85,86,86,87,88,89,1.00155052493364,951.662762618819,982.444488994784
2021-04-07,2021-05-01,1,64,"CH",64,1,24,0,65.91,66,1.5297843770415,1.4826,64,65,65,66,66,67,69,1.00116139991305,953.104816158482,972.825653772722
2021-04-08,2021-05-01,1,92,"CH",92,1,23,0,94.141,94,1.54515581949087,1.4826,92,93,93,94,94,95,97,1.00128463997337,925.494435699948,926.412097377059
2021-04-09,2021-05-01,1,79,"CH",79,1,22,0,80.976,81,1.44482231139733,1.4826,79,80,80,81,81,82,84,1.00007711982852,976.395917358069,960.596719746162
2021-04-10,2021-05-01,1,54,"CH",54,1,21,0,55.765,56,1.41059021858397,1.4826,54,55,55,56,56,57,58,1.0027648371393,826.471902924301,845.343874900389
2021-04-11,2021-05-01,1,48,"CH",48,1,20,0,50.995,51,1.44535949302036,1.4826,49,50,50,51,51,52,54,1.00096010811659,1038.81203643568,913.549647084725
2021-04-12,2021-05-01,1,95,"CH",95,1,19,0,97.442,97,1.63563789125568,1.4826,95,96,97,97,98,99,100,0.99934069663198,929.507705301622,930.66183938362
2021-04-13,2021-05-01,1,54,"CH",54,1,18,0,57.165,57,1.92027666300001,1.4826,54,56,56,57,58,59,61,0.999344773649837,990.999613967939,954.15871237711
2021-04-14,2021-05-01,1,59,"CH",59,1,17,0,62.7,62,2.19837049489681,1.4826,60,61,62,62,63,64,67,1.00126704508346,1017.85708595621,898.060614280785
2021-04-15,2021-05-01,1,82,"CH",82,1,16,0,86.212,86,2.18628356711471,1.4826,83,84,85,86,87,88,90,0.99980172262582,933.177676127619,796.394052151261
2021-04-16,2021-05-01,1,60,"CH",60,1,15,0,64.111,64,2.23554840624771,2.9652,61,62,63,64,65,66,68,0.998713225697082,1034.29510938588,956.627561359272
2021-04-17,2021-05-01,1,52,"CH",52,1,14,0,55.963,56,2.10572198190195,1.4826,53,54,55,56,57,58,60,0.998896644127868,1006.96179646009,876.428140273527
2021-04-18,2021-05-01,1,50,"CH",50,1,13,0,54.552,54,2.41062380041082,2.9652,51,52,53,54,55,56,59,1.00060822564595,917.090462381174,946.531900090048
2021-04-19,2021-05-01,1,71,"CH",71,1,12,0,77.247,77,2.76108938910254,2.9652,73,75,76,77,78,79,82,1.00507226554997,1038.46206852848,955.821693744463
2021-04-20,2021-05-01,1,75,"CH",75,1,11,0,83.262,83,3.32752587193976,2.9652,79,80,82,83,84,86,89,1.00304239862815,933.3528516478,901.46482445074
2021-04-21,2021-05-01,1,74,"CH",74,1,10,0,85.715,85,4.04724043703301,4.4478,79,82,84,85,87,89,93,0.999057485953956,1007.69560014087,960.005912508594
2021-04-22,2021-05-01,1,51,"CH",51,1,9,0,64.809,64,4.65920886280356,4.4478,58,61,63,64,66,68.2,73,1.00023953424778,999.016471632301,820.777821543176
2021-04-23,2021-05-01,1,61,"CH",61,1,8,0,74.748,74,4.79097583478037,4.4478,68,71,72,74,76,79,84,1.00101973439934,928.213044818193,971.124383045603
2021-04-24,2021-05-01,1,56,"CH",56,1,7,0,70.499,70,5.20990807425065,4.4478,63,66,68,70,72,74,80,0.999536856239371,1111.59145014295,933.191406148396
2021-04-25,2021-05-01,1,45,"CH",45,1,6,0,63.332,63,6.03906004658393,5.9304,54,58,61,63,65,68,74,1.00134275618704,1049.85340004047,924.58259936315
2021-04-26,2021-05-01,1,75,"CH",75,1,5,0,100.989,100,8.11780621706245,7.413,89.95,94,97,100,104,107,115,1.00129787253585,1191.78418456229,1015.56932777897
2021-04-27,2021-05-01,1,58,"CH",58,1,4,0,94.811,93,11.7422808755437,10.3782,79,85,89,93,98,104,115,1.00066136206533,1050.80111453644,1062.85518433103
2021-04-28,2021-05-01,1,38,"CH",38,1,3,0,89.142,87,16.0720299323435,14.826,67,76,82,87,93,101,118,0.998996918276957,1042.57742051468,937.572630680137
2021-04-29,2021-05-01,1,9,"CH",9,1,2,0,74.233,72,20.3854918822009,19.2738,46,57,65,72,79,89,113,1.00015261863583,930.09322010892,964.73280621945
2021-04-30,2021-05-01,1,0,"CH",0,NA,1,NA,73.887,71,24.7332967266187,23.7216,41,53,62,71,79,92,122,0.999208631423403,1101.80310045828,1034.27937164743
2021-05-01,2021-05-01,1,0,"CH",0,NA,0,NA,75.293,71,24.5781862275929,23.7216,43,54,63,71,82,94,119.1,1.00038778888885,1043.60478346598,965.810358762443
2021-03-28,2021-05-02,1,56,"CH",56,1,35,0,57,57,0,0,57,57,57,57,57,57,57,NA,NA,NA
2021-03-29,2021-05-02,1,78,"CH",78,1,34,0,78.644,78,0.917663394772891,0,78,78,78,78,79,79,80,0.99842752959807,993.161639674299,994.858726900344
2021-03-30,2021-05-02,1,76,"CH",76,1,33,0,76.762,76,1.02976522393039,0,76,76,76,76,77,77,79,1.00664404882056,939.02468912333,1010.34231184506
2021-03-31,2021-05-02,1,73,"CH",73,1,32,0,73.824,74,1.02179649053423,1.4826,73,73,73,74,74,75,76,1.03935718995316,63.4759688631925,75.2860471958077
2021-04-01,2021-05-02,1,73,"CH",73,1,31,0,73.904,74,1.03820126269518,1.4826,73,73,73,74,74,75,76,1.06060601522941,30.8156493789579,71.7734449920562
2021-04-02,2021-05-02,1,67,"CH",67,1,30,0,67.833,68,0.989995500540831,1.4826,67,67,67,68,68,69,70,1.03146224255047,86.3472320315284,524.591703849094
2021-04-03,2021-05-02,1,77,"CH",77,1,29,0,77.841,78,0.982183121257785,1.4826,77,77,77,78,78,78,80,1.02610675839459,429.447802471839,409.060755266761
2021-04-04,2021-05-02,1,76,"CH",76,1,28,0,77.003,77,1.10644259463165,1.4826,76,76,76,77,77,78,79,1.01138837790723,866.82463513886,894.91866038852
2021-04-05,2021-05-02,1,68,"CH",68,1,27,0,69.18,69,1.16402532401789,1.4826,68,68,69,69,69,70,71,1.00151023785684,962.479238504802,985.404571347121
2021-04-06,2021-05-02,1,85,"CH",85,1,26,0,86.425,86,1.30693652603448,1.4826,85,85,86,86,87,87,89,1.01132649904454,715.525280238949,963.740430860385
2021-04-07,2021-05-02,1,64,"CH",64,1,25,0,65.568,65,1.3539605641263,1.4826,64,64,65,65,66,67,68,1.01780823332965,922.301180733738,993.129303586186
2021-04-08,2021-05-02,1,92,"CH",92,1,24,0,93.646,93,1.36914519265071,1.4826,92,92,93,93,94,95,96,1.0680231831438,22.8130595258868,172.236950820226
2021-04-09,2021-05-02,1,79,"CH",79,1,23,0,80.501,80,1.36082726708824,1.4826,79,79,80,80,81,82,83,1.08500532744905,19.4411419790059,53.2062654391544
2021-04-10,2021-05-02,1,54,"CH",54,1,22,0,55.515,55,1.32571962817654,1.4826,54,54,55,55,56,56,58,1.04739533496789,46.03078582676,740.58660617128
2021-04-11,2021-05-02,1,48,"CH",48,1,21,0,50.813,51,1.43530174217517,1.4826,49,50,50,51,51,52,53,1.00771069573229,857.051132789898,965.290478257289
2021-04-12,2021-05-02,1,95,"CH",95,1,20,0,97.266,97,1.61859935248469,1.4826,95,96,96,97,98,99,100,1.00582637480359,1102.55420458884,1080.79899421224
2021-04-13,2021-05-02,1,54,"CH",54,1,19,0,56.862,57,1.82435859531077,1.4826,54,55,56,57,57,58,60,1.00848068861548,985.107228357066,947.667678013222
2021-04-14,2021-05-02,1,59,"CH",59,1,18,0,62.335,62,2.14041032429681,1.4826,59,61,61,62,63,64,66,1.03239965931937,77.0344620691994,715.53848715897
2021-04-15,2021-05-02,1,82,"CH",82,1,17,0,85.594,85,2.11462423036237,1.4826,83,84,85,85,86,87,89,1.03791092583742,54.9747719406381,681.992961937512
2021-04-16,2021-05-02,1,60,"CH",60,1,16,0,63.32,63,2.11188542777776,1.4826,60,61,62,63,64,65,67,1.08075537840347,16.7525809423407,591.349949397607
2021-04-17,2021-05-02,1,52,"CH",52,1,15,0,55.496,55,2.13085065748976,1.4826,52,54,54,55,56,57,59,1.03443445718634,56.873093117194,923.059847939078
2021-04-18,2021-05-02,1,50,"CH",50,1,14,0,54.413,54,2.41376412626778,2.9652,51,52,53,54,55,56,59,1.00497820108512,839.452488386593,900.000487829902
2021-04-19,2021-05-02,1,71,"CH",71,1,13,0,76.806,77,2.75716629276617,2.9652,73,74,76,77,78,79,82,1.02025269722591,285.624252414041,1029.17107592555
2021-04-20,2021-05-02,1,75,"CH",75,1,12,0,82.767,82,3.563342308621,2.9652,78,80,81,82,84,86,89,1.01693222574851,414.831844902207,941.465173677494
2021-04-21,2021-05-02,1,74,"CH",74,1,11,0,84.711,84,4.19607984743928,4.4478,79,81,83,84,86,88,92,1.06077037890454,29.1849292830552,401.018523573252
2021-04-22,2021-05-02,1,51,"CH",51,1,10,0,62.787,62,4.78210199593228,4.4478,56,59,60,62,64,67,72,1.13797503852231,10.1884918795955,124.535671128483
2021-04-23,2021-05-02,1,61,"CH",61,1,9,0,72.798,72.5,4.98056241824174,5.1891,66,68,70,72.5,74,77,82,1.08444923014508,16.8650375030656,90.7270426033977
2021-04-24,2021-05-02,1,56,"CH",56,1,8,0,69.217,69,5.32787924950419,5.9304,61,65,67,69,71,73,79,1.02221707796879,638.167596063909,902.495527090596
2021-04-25,2021-05-02,1,45,"CH",45,1,7,0,64.465,63,8.18191412315717,7.413,54,58,61,63,66,70,81,1.02036871602768,776.184023485126,198.057621767164
2021-04-26,2021-05-02,1,75,"CH",75,1,6,0,105.427,102.5,13.205493404491,9.6369,89.95,95,99,102.5,108,114,131,1.10999837326171,12.9465735105257,430.328860548441
2021-04-27,2021-05-02,1,58,"CH",58,1,5,0,100.427,97,17.4532313995514,14.826,79,86,92,97,103,111,134,1.07773392501068,19.2428132644266,386.006913935126
2021-04-28,2021-05-02,1,38,"CH",38,1,4,0,92.348,88,21.406988465339,17.7912,65.95,75,82,88,96,107,132,1.03329074230102,718.7745854907,839.368782048302
