"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-04-27,2021-06-01,1,69,"CH",69,1,35,0,70,70,0,0,70,70,70,70,70,70,70,NA,NA,NA
2021-04-28,2021-06-01,1,62,"CH",62,1,34,0,62.456,62,0.735258189076874,0,62,62,62,62,62,63,64,0.999845715188126,915.717014762684,927.172804232344
2021-04-29,2021-06-01,1,62,"CH",62,1,33,0,62.512,62,0.777470552793133,0,62,62,62,62,63,63,64,0.999490989353579,980.685747706218,969.491149797914
2021-04-30,2021-06-01,1,57,"CH",57,1,32,0,57.566,57,0.790106491726443,0,57,57,57,57,58,58,59,1.00022636949904,997.233220476065,945.950428125984
2021-05-01,2021-06-01,1,61,"CH",61,1,31,0,61.483,61,0.745833270421257,0,61,61,61,61,62,62,63,0.998977607590601,1021.73073862472,979.293070511968
2021-05-02,2021-06-01,1,36,"CH",36,1,30,0,36.528,36,0.758809456841302,0,36,36,36,36,37,37,38,0.999012401962685,935.742779108787,914.620167443854
2021-05-03,2021-06-01,1,62,"CH",62,1,29,0,62.617,62,0.824008489027868,0,62,62,62,62,63,63,64,0.99961796297994,1150.46439739436,887.289229164135
2021-05-04,2021-06-01,1,44,"CH",44,1,28,0,44.723,45,0.873518193304544,1.4826,44,44,44,45,45,45,46,1.00019879142447,920.166933979322,908.523571884252
2021-05-05,2021-06-01,1,50,"CH",50,1,27,0,50.884,51,0.96512977131341,1.4826,50,50,50,51,51,52,53,1.0018047764273,1045.50716880842,1032.04526151798
2021-05-06,2021-06-01,1,44,"CH",44,1,26,0,44.923,45,0.984906615391044,1.4826,44,44,44,45,45,46,47,1.00140134546042,980.437113809132,915.935491314265
2021-05-07,2021-06-01,1,44,"CH",44,1,25,0,44.804,45,0.928679948338741,1.4826,44,44,44,45,45,45,47,1.00024807324656,990.025431536369,843.927990381766
2021-05-08,2021-06-01,1,34,"CH",34,1,24,0,34.731,35,0.87028523852608,1.4826,34,34,34,35,35,35,36,0.999392704104281,916.871757264334,867.534248592404
2021-05-09,2021-06-01,1,43,"CH",43,1,23,0,43.772,44,0.872225186965371,1.4826,43,43,43,44,44,44,45,0.999209998811947,1015.46225470439,966.72053117505
2021-05-10,2021-06-01,1,39,"CH",39,1,22,0.0256410256410256,39.989,40,1.05924548665595,1.4826,39,39,39,40,40,41,42,0.999417152092667,820.107763800115,855.174769411035
2021-05-11,2021-06-01,1,39,"CH",39,1,21,0,40.25,40,1.15708203634783,1.4826,39,39,40,40,40,41,42,1.00003768099104,966.243202718772,926.499484875555
2021-05-12,2021-06-01,1,34,"CH",34,1,20,0,35.342,35,1.15688131386689,1.4826,34,34,35,35,36,36,38,0.999227183398818,1078.88920312131,1025.97180768816
2021-05-13,2021-06-01,1,28,"CH",28,1,19,0,29.493,29,1.24800180629217,1.4826,28,28,29,29,30,30,32,1.00116560908496,849.851704797454,952.085394991166
2021-05-14,2021-06-01,1,29,"CH",29,1,18,0,30.4,30,1.24158831403229,1.4826,29,29,30,30,31,31,33,0.998903878073149,1030.03045660915,947.973614126105
2021-05-15,2021-06-01,1,28,"CH",28,1,17,0,29.383,29,1.26724777250422,1.4826,28,28,29,29,30,30,32,0.999546367674682,1086.98827364868,962.942066815971
2021-05-16,2021-06-01,1,25,"CH",25,1,16,0,26.532,26,1.30716666293349,1.4826,25,25,26,26,27,28,29,0.999186995327989,962.52410120685,890.110938082255
2021-05-17,2021-06-01,1,36,"CH",36,1,15,0,38.039,38,1.53487290510805,1.4826,36,37,37,38,38,39,41,1.00071140506918,931.767622837391,926.193085568905
2021-05-18,2021-06-01,1,35,"CH",35,1,14,0,37.52,37,1.69424628388864,1.4826,35,36,37,37,38,39,40.05,0.99943560124207,1056.05632301752,1028.20999035597
2021-05-19,2021-06-01,1,46,"CH",46,1,13,0,49.195,49,1.88693813770763,1.4826,46,48,48,49,50,51,52,1.00431034431408,669.401256246108,741.69716446606
2021-05-20,2021-06-01,1,32,"CH",32,1,12,0,35.537,35,2.0593377265208,1.4826,33,34,35,35,36,37,39,1.00361426266451,895.89271196425,829.292687575147
2021-05-21,2021-06-01,1,29,"CH",29,1,11,0,32.524,32,2.02472801223362,1.4826,30,31,32,32,33,34,36,1.00318923950326,1157.24441363134,1036.10405285859
