"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-01-28,2021-02-16,1,1,"GE",1,1,19,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-01-29,2021-02-16,1,0,"GE",0,NA,18,NA,0.049,0,0.23378120894044,0,0,0,0,0,0,0,0,0.999082565747115,1108.35946080798,1109.69037670581
2021-01-30,2021-02-16,1,4,"GE",4,1,17,0.25,4.124,4,0.358821338207126,0,4,4,4,4,4,4,5,0.999473738057046,954.965038065417,966.08751712405
2021-01-31,2021-02-16,1,0,"GE",0,NA,16,NA,0.136,0,0.381640733740058,0,0,0,0,0,0,0,1,0.998775902883344,933.006819433101,926.767575950383
2021-02-01,2021-02-16,1,0,"GE",0,NA,15,NA,0.233,0,0.500961038367219,0,0,0,0,0,0,0,1,0.99823608719956,1001.18842040618,906.360735230472
2021-02-02,2021-02-16,1,3,"GE",3,1,14,0,3.345,3,0.600279381067962,0,3,3,3,3,3,4,4,0.999680121106603,959.577149116238,964.385041332
2021-02-03,2021-02-16,1,4,"GE",4,1,13,0,4.503,4,0.733845712346628,0,4,4,4,4,5,5,6,0.998628739521096,1039.98731480396,964.603355287894
2021-02-04,2021-02-16,1,1,"GE",1,1,12,0,1.624,1,0.86102576347364,0,1,1,1,1,2,2,3,0.998408544415512,1022.19654504557,991.087400910226
2021-02-05,2021-02-16,1,3,"GE",3,1,11,0,3.72,4,0.878847183742641,1.4826,3,3,3,4,4,4,5,0.998927721395237,846.613062576796,846.920864201813
2021-02-06,2021-02-16,1,1,"GE",1,1,10,0,1.95,2,1.05385511841553,1.4826,1,1,1,2,2,3,4,1.00118209468913,812.159523791466,841.974477301419
2021-02-07,2021-02-16,1,4,"GE",4,1,9,0,5.274,5,1.23387456673944,1.4826,4,4,5,5,6,6,8,0.998951765815944,1080.82865177769,824.620463310754
2021-02-08,2021-02-16,1,3,"GE",3,1,8,0.666666666666667,4.602,4,1.43305605251492,1.4826,3,3,4,4,5,6,7,1.00114356277261,984.915899863937,755.538664933103
2021-02-09,2021-02-16,1,5,"GE",5,1,7,0.2,7.25,7,1.74600932086531,1.4826,5,6,6,7,8,9,10.05,1.00225621684513,957.858471727578,740.930421626773
2021-02-10,2021-02-16,1,1,"GE",1,1,6,0,3.75,4,1.90502733028404,1.4826,1,2,3,4,4,5,7,1.00040574733166,872.742838713449,834.102660730853
2021-02-11,2021-02-16,1,4,"GE",4,1,5,0.25,7.426,7,2.30300408767067,1.4826,4,5,6,7,8,9,12,1.00243966586965,1075.92183515644,995.042510412758
2021-02-12,2021-02-16,1,1,"GE",1,1,4,1,4.859,4,2.5728852945164,2.9652,1,3,4,4,5,7,9,1.00383598717486,1051.94375537469,952.778956676912
2021-02-13,2021-02-16,1,3,"GE",3,1,3,0.666666666666667,7.307,7,2.66530577136186,2.9652,4,5,6,7,8,9,12,1.00046656200506,1108.28269725761,1056.01814875193
2021-02-14,2021-02-16,1,1,"GE",1,1,2,1,5.874,5,3.0340285643562,2.9652,2,3,4,5,7,8,11,1.00339651151835,1037.00939988026,961.9098351771
2021-02-15,2021-02-16,1,0,"GE",0,NA,1,NA,5.478,5,3.60645567316757,2.9652,1,3,4,5,6,8,11,1.00265762772343,987.713891239125,834.779592781772
2021-02-16,2021-02-16,1,0,"GE",0,NA,0,NA,5.793,5,3.65205264043229,2.9652,1,3,4,5,6.35000000000002,8,12,0.999948156049051,1189.60722383406,996.586417777502
2021-01-29,2021-02-17,1,0,"GE",0,NA,19,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2021-01-30,2021-02-17,1,4,"GE",4,1,18,0,4.059,4,0.248154348300771,0,4,4,4,4,4,4,5,0.99924312594829,981.793595795991,998.837932072024
2021-01-31,2021-02-17,1,0,"GE",0,NA,17,NA,0.08,0,0.278707153976495,0,0,0,0,0,0,0,1,1.00003814350253,805.963142642658,779.653915533811
2021-02-01,2021-02-17,1,0,"GE",0,NA,16,NA,0.158,0,0.413771926557623,0,0,0,0,0,0,0,1,0.998592180474522,1029.61170816599,869.128291506576
2021-02-02,2021-02-17,1,3,"GE",3,1,15,0,3.227,3,0.513551102359575,0,3,3,3,3,3,3,4,0.998454616568292,934.738270655907,910.728861254872
2021-02-03,2021-02-17,1,4,"GE",4,1,14,0,4.341,4,0.626986532640145,0,4,4,4,4,4,5,6,1.00083850984148,935.238972157323,934.437488223277
2021-02-04,2021-02-17,1,1,"GE",1,1,13,0,1.419,1,0.684037211639036,0,1,1,1,1,1,2,3,1.00096668687141,1021.26661649148,1007.85730188265
2021-02-05,2021-02-17,1,3,"GE",3,1,12,0,3.56,3,0.773950256152809,0,3,3,3,3,4,4,5,0.998382237514219,1065.23794222453,843.013106742657
2021-02-06,2021-02-17,1,1,"GE",1,1,11,0,1.639,1,0.833891104626002,0,1,1,1,1,2,2,3,1.00338689072483,930.244974719206,956.991590963995
2021-02-07,2021-02-17,1,4,"GE",4,1,10,0,4.911,5,1.02182343050212,1.4826,4,4,4,5,5,6,7,1.00060417622808,910.614507360395,927.679608637106
2021-02-08,2021-02-17,1,3,"GE",3,1,9,0,4.139,4,1.16749391520557,1.4826,3,3,3,4,4,5,6,1.00321326339902,1071.08370697583,1013.59772632453
2021-02-09,2021-02-17,1,5,"GE",5,1,8,0,6.49,6,1.35415425034733,1.4826,5,5,6,6,7,7.20000000000005,9,1.00046865910453,1067.06728932856,926.58082922933
2021-02-10,2021-02-17,1,1,"GE",1,1,7,0,2.861,3,1.56080591846492,1.4826,1,2,2,3,3,4,6,1.00328920895793,1013.17862308317,979.773005279567
2021-02-11,2021-02-17,1,4,"GE",4,1,6,0,6.147,6,1.71940319510793,1.4826,4,5,5,6,6,8,10,0.998841378120494,1046.63595839344,901.440144173187
2021-02-12,2021-02-17,1,1,"GE",1,1,5,0,3.489,3,1.89828408898207,1.4826,1,2,3,3,4,5,7,0.999850065197669,1073.02274096878,903.484000422228
2021-02-13,2021-02-17,1,3,"GE",3,1,4,0,5.719,5,1.90201384239354,1.4826,3,4,5,5,6,7,9,1.00023473013524,1143.32010593054,1009.37829384428
