"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-03-13,2021-04-01,1,6,"GE",6,1,19,0,6,6,0,0,6,6,6,6,6,6,6,NA,NA,NA
2021-03-14,2021-04-01,1,3,"GE",3,1,18,0,3.088,3,0.307165021365308,0,3,3,3,3,3,3,4,1.00246875459727,921.472231152656,722.432549872605
2021-03-15,2021-04-01,1,8,"GE",8,1,17,0,8.177,8,0.442568488334706,0,8,8,8,8,8,8,9,0.998128331185947,1026.92146733798,1021.19974484556
2021-03-16,2021-04-01,1,6,"GE",6,1,16,0,6.273,6,0.541076486056975,0,6,6,6,6,6,7,7,1.0007340925614,978.107126848838,1003.61966295748
2021-03-17,2021-04-01,1,4,"GE",4,1,15,0.25,4.338,4,0.616551811396363,0,4,4,4,4,4,5,5,1.0013024608426,835.774996790287,877.367305677778
2021-03-18,2021-04-01,1,2,"GE",2,1,14,0,2.45,2,0.667791843275991,0,2,2,2,2,3,3,4,1.00063949583962,932.039377807889,956.109916296437
2021-03-19,2021-04-01,1,2,"GE",2,1,13,0,2.54,2,0.768759384327106,0,2,2,2,2,3,3,4,1.00110128384856,901.239857244226,913.311808649073
2021-03-20,2021-04-01,1,5,"GE",5,1,12,0,5.664,5,0.843691777733916,0,5,5,5,5,6,6,7,0.998747746299565,954.543323919829,963.779078800871
2021-03-21,2021-04-01,1,4,"GE",4,1,11,0.25,4.879,5,0.993653031166486,1.4826,4,4,4,5,5,6,7,1.00207565141641,824.77508457681,865.562749014454
2021-03-22,2021-04-01,1,8,"GE",8,1,10,0,9.164,9,1.10377639144997,1.4826,8,8,9,9,9,10,11,1.00587851635621,1031.18815613904,963.18647757468
2021-03-23,2021-04-01,1,4,"GE",4,1,9,0,5.569,5,1.33529847675418,1.4826,4,4,5,5,6,7,8,0.999813054689841,915.493053227097,894.259963618861
2021-03-24,2021-04-01,1,6,"GE",6,1,8,0.333333333333333,8.094,8,1.61795605063357,1.4826,6,7,7,8,8,9,11,1.00146461375416,946.324527526668,1024.96082570714
2021-03-25,2021-04-01,1,4,"GE",4,1,7,0,6.423,6,1.67955109832714,1.4826,4,5,6,6,7,8,9,1.00021849856224,1039.92360656478,886.928683672657
2021-03-26,2021-04-01,1,5,"GE",5,1,6,0.2,7.777,7,1.95629703728705,1.4826,5,6,7,7,8,9,11,0.999087869896958,1098.28671210013,1001.69569542388
2021-03-27,2021-04-01,1,4,"GE",4,1,5,0.25,7.125,7,1.96245413353439,1.4826,4,5,6,7,8,9,11,0.999858517923827,815.239636096367,995.229448895971
2021-03-28,2021-04-01,1,2,"GE",2,1,4,0.5,5.776,5,2.23311683769811,1.4826,3,4,5,5,6,8,10,0.998357056374754,1065.77447368033,940.379635992748
2021-03-29,2021-04-01,1,8,"GE",8,1,3,0.25,13.133,13,2.93903877976269,2.9652,9,11,12,13,14,15,18,0.999107315186241,1136.7698784058,797.196717205451
2021-03-30,2021-04-01,1,0,"GE",0,NA,2,NA,6.22,6,3.4839256217287,2.9652,2,3,4,6,7,9,13,1.00682098523076,1055.42184255483,872.45622185576
2021-03-31,2021-04-01,1,0,"GE",0,NA,1,NA,6.942,6,3.73022124686332,2.9652,2,4,5,6,8,10,14,0.999747066303279,1340.47627828294,1024.97562641303
2021-04-01,2021-04-01,1,0,"GE",0,NA,0,NA,7.631,7,4.55407274629848,4.4478,2,4,5,7,9,11,16,1.00403697934118,1188.61946661599,968.357577457958
2021-03-14,2021-04-02,1,3,"GE",3,1,19,0,3,3,0,0,3,3,3,3,3,3,3,NA,NA,NA
2021-03-15,2021-04-02,1,8,"GE",8,1,18,0,8.096,8,0.308024153077123,0,8,8,8,8,8,8,9,0.998596598720149,948.322758515982,672.529112269593
2021-03-16,2021-04-02,1,6,"GE",6,1,17,0,6.187,6,0.445229411909444,0,6,6,6,6,6,6,7,0.999669849711556,922.467518042718,925.838566378224
2021-03-17,2021-04-02,1,4,"GE",4,1,16,0,4.298,4,0.565257034910239,0,4,4,4,4,4,5,5,0.998163485378554,1018.64063580514,1003.71971661531
2021-03-18,2021-04-02,1,2,"GE",2,1,15,0,2.344,2,0.619716102782595,0,2,2,2,2,2,3,4,1.00133354249617,1020.55455214531,1016.75784817257
2021-03-19,2021-04-02,1,2,"GE",2,1,14,0,2.435,2,0.684283013995849,0,2,2,2,2,2,3,4,0.999350610335601,1064.72948326212,1039.04343549998
2021-03-20,2021-04-02,1,6,"GE",6,1,13,0.166666666666667,6.575,6,0.789302222217826,0,6,6,6,6,7,7,8,1.00044829618498,994.513837043088,782.362252652874
2021-03-21,2021-04-02,1,5,"GE",5,1,12,0.2,5.79,6,0.909245141162012,1.4826,5,5,5,6,6,6,8,1.00173256498519,1027.68732416264,796.397596737626
2021-03-22,2021-04-02,1,9,"GE",9,1,11,0.111111111111111,10.14,10,1.1391653513418,1.4826,9,9,10,10,10,11,12,1.00781894503118,1008.15425191496,845.997558337622
2021-03-23,2021-04-02,1,4,"GE",4,1,10,0,5.429,5,1.25480418135004,1.4826,4,4,5,5,6,6,8,1.0013320155008,1023.42731295559,966.880195792331
2021-03-24,2021-04-02,1,7,"GE",7,1,9,0.142857142857143,8.787,9,1.42184832266056,1.4826,7,8,8,9,9,10,12,0.998809938645997,1073.58666545745,978.361462481798
2021-03-25,2021-04-02,1,4,"GE",4,1,8,0,6.115,6,1.60946120343591,1.4826,4,5,5,6,7,7,9,1.00079496640596,951.797127538702,967.83030531117
2021-03-26,2021-04-02,1,6,"GE",6,1,7,0.166666666666667,8.461,8,1.75771686245782,1.4826,6,7,8,8,9,10,12,1.0008002765345,1036.46941896907,934.861445958808
2021-03-27,2021-04-02,1,5,"GE",5,1,6,0.2,7.973,8,1.92613109132815,1.4826,5,6,7,8,8,10,12,0.999075486988114,1067.4891977786,879.86879583075
2021-03-28,2021-04-02,1,4,"GE",4,1,5,0.5,7.804,8,2.3356025002211,2.9652,5,6,7,8,8,10,12,1.00092730237105,1054.64744483125,976.681230339573
2021-03-29,2021-04-02,1,9,"GE",9,1,4,0.111111111111111,13.892,14,2.55947004024014,2.9652,10,12,13,14,15,16,18,0.999431534674812,934.728264222292,919.379913683585
2021-03-30,2021-04-02,1,2,"GE",2,1,3,1,7.997,8,3.16623056899147,2.9652,4,5,6,8,9,10,14,0.999706865823418,1116.42551891852,954.898430293436
2021-03-31,2021-04-02,1,2,"GE",2,1,2,1,9.143,9,3.67097085619418,2.9652,4,6,7,9,10,12,16,1.00024796735831,1170.92168901089,913.798914315878
2021-04-01,2021-04-02,1,0,"GE",0,NA,1,NA,8.279,8,4.29273649163172,4.4478,3,5,6,8,9,11,16,1.00034179559672,1234.92541729612,977.782078021822
2021-04-02,2021-04-02,1,0,"GE",0,NA,0,NA,8.783,8,4.6287510557748,4.4478,3,5,7,8,10,12,17,0.998960893844118,1066.1699298154,1002.69005636273
2021-03-15,2021-04-03,1,8,"GE",8,1,19,0,8,8,0,0,8,8,8,8,8,8,8,NA,NA,NA
2021-03-16,2021-04-03,1,6,"GE",6,1,18,0,6.178,6,0.422486087930117,0,6,6,6,6,6,6,7,0.998132151031766,1075.44803768603,1037.7174857006
2021-03-17,2021-04-03,1,4,"GE",4,1,17,0,4.277,4,0.551883661268909,0,4,4,4,4,4,5,5,0.998675526104123,995.155743618422,967.215447197063
2021-03-18,2021-04-03,1,2,"GE",2,1,16,0,2.357,2,0.624452512959105,0,2,2,2,2,2,3,4,0.999969105612569,867.2916668937,916.723696711956
2021-03-19,2021-04-03,1,2,"GE",2,1,15,0,2.453,2,0.6901211975206,0,2,2,2,2,3,3,4,0.999394976649702,901.575143142086,879.100043354718
2021-03-20,2021-04-03,1,6,"GE",6,1,14,0,6.584,6,0.779455933040189,0,6,6,6,6,7,7,8,0.998116378408154,995.867697779461,1035.72352342464
2021-03-21,2021-04-03,1,5,"GE",5,1,13,0,5.755,6,0.934798828009989,1.4826,5,5,5,6,6,6,8,0.999486447146042,944.931026509974,996.648773515707
2021-03-22,2021-04-03,1,9,"GE",9,1,12,0,10.033,10,1.05878800145829,1.4826,9,9,9,10,10,11,12,0.998919511894354,1106.47901479236,988.415771172875
2021-03-23,2021-04-03,1,4,"GE",4,1,11,0,5.366,5,1.2448267323582,1.4826,4,4,5,5,6,6,8,1.00131181095523,992.112034744462,1021.92037655631
2021-03-24,2021-04-03,1,7,"GE",7,1,10,0,8.895,9,1.53046310550673,1.4826,7,8,8,9,9,10,12,1.00283534997182,833.91559603984,913.767833324383
2021-03-25,2021-04-03,1,4,"GE",4,1,9,0,6.214,6,1.60897258919871,1.4826,4,5,5,6,7,7,9,1.00155617980616,1126.72801755623,980.718382733992
2021-03-26,2021-04-03,1,6,"GE",6,1,8,0,8.449,8,1.72231395667729,1.4826,6,7,8,8,9,10,12,1.00266415793118,1039.22762926681,891.301256017549
2021-03-27,2021-04-03,1,5,"GE",5,1,7,0,8.016,8,1.99191157226211,1.4826,5,6,7,8,8,9.20000000000005,12,0.999432979665228,1040.04290607186,958.223161605613
