"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-02-10,2021-03-01,1,1,"GE",1,1,19,0,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA
2021-02-11,2021-03-01,1,4,"GE",4,1,18,0,4.086,4,0.287552928496106,0,4,4,4,4,4,4,5,1.00045485697479,969.576263599726,980.245231208759
2021-02-12,2021-03-01,1,1,"GE",1,1,17,0,1.166,1,0.41787392670352,0,1,1,1,1,1,1,2,0.998495624083077,970.428334621731,947.035653488669
2021-02-13,2021-03-01,1,3,"GE",3,1,16,0,3.224,3,0.487916039972106,0,3,3,3,3,3,3,4,0.999574920675474,988.435824068051,903.751725791725
2021-02-14,2021-03-01,1,2,"GE",2,1,15,0.5,2.279,2,0.543557222796694,0,2,2,2,2,2,3,3,0.998956157610822,947.665706266957,954.230286144345
2021-02-15,2021-03-01,1,1,"GE",1,1,14,0,1.414,1,0.637974146036507,0,1,1,1,1,1,2,3,0.99858443960638,1059.75276273599,750.938527880284
2021-02-16,2021-03-01,1,4,"GE",4,1,13,0,4.479,4,0.729445742390132,0,4,4,4,4,5,5,6,1.00308231312279,932.638689566415,907.405022649788
2021-02-17,2021-03-01,1,2,"GE",2,1,12,0,2.647,2,0.838507062638171,0,2,2,2,2,3,3,4,1.00179500611367,863.658620139813,954.996561070422
2021-02-18,2021-03-01,1,3,"GE",3,1,11,0,3.715,3,0.900325266548477,0,3,3,3,3,4,4,5.04999999999995,0.999305161018281,1037.37807105163,926.448705106989
2021-02-19,2021-03-01,1,4,"GE",4,1,10,0,4.848,5,1.0392189259131,1.4826,4,4,4,5,5,6,7,1.0028041554457,968.035844595099,800.358643131133
2021-02-20,2021-03-01,1,3,"GE",3,1,9,0,4.006,4,1.06258792252363,1.4826,3,3,3,4,4,5,6,0.999686162909272,983.442389236581,920.252848945153
2021-02-21,2021-03-01,1,2,"GE",2,1,8,0,3.119,3,1.12521335981453,1.4826,2,2,3,3,3,4,5,0.998846393082117,1023.56309984032,924.902924660797
