"reference_date","report_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
2021-04-12,2021-05-01,1,3,"GE",3,1,19,0,3,3,0,0,3,3,3,3,3,3,3,NA,NA,NA
2021-04-13,2021-05-01,1,7,"GE",7,1,18,0,7.19,7,0.458377693730956,0,7,7,7,7,7,7,8,0.999359053526596,987.949049484912,800.848523622072
2021-04-14,2021-05-01,1,7,"GE",7,1,17,0,7.294,7,0.589840581777748,0,7,7,7,7,7,8,8,0.998604734413272,1018.94253001883,966.391366330861
2021-04-15,2021-05-01,1,11,"GE",11,1,16,0,11.422,11,0.684386136902542,0,11,11,11,11,11,12,13,1.00060467676873,947.984672456147,915.506495981165
2021-04-16,2021-05-01,1,8,"GE",8,1,15,0,8.471,8,0.729171235506922,0,8,8,8,8,9,9,10,0.998287898738742,932.121682732098,976.807087762196
2021-04-17,2021-05-01,1,4,"GE",4,1,14,0,4.512,4,0.736477018241845,0,4,4,4,4,5,5,6,0.99898717136707,1072.11198228685,996.355955320123
2021-04-18,2021-05-01,1,5,"GE",5,1,13,0,5.623,5,0.847106007881297,0,5,5,5,5,6,6,7,0.999844790189458,971.103472361972,995.345273657362
2021-04-19,2021-05-01,1,7,"GE",7,1,12,0,7.857,8,0.969273176401003,1.4826,7,7,7,8,8,9,10,1.00082100779751,1034.66354408857,860.433566256277
2021-04-20,2021-05-01,1,7,"GE",7,1,11,0,8.189,8,1.19946559672119,1.4826,7,7,8,8,8,9,10,1.00107871772471,1095.99206423805,926.797543596965
2021-04-21,2021-05-01,1,9,"GE",9,1,10,0,10.487,10,1.35486776722552,1.4826,9,9,10,10,11,12,13,1.00729210004807,1027.28307349001,1003.31973364214
2021-04-22,2021-05-01,1,3,"GE",3,1,9,0,4.736,4,1.50418302296182,1.4826,3,3,4,4,5,6,8,1.00301011379004,1025.02282451223,948.668070082486
2021-04-23,2021-05-01,1,11,"GE",11,1,8,0,13.06,13,1.61400278965218,1.4826,11,12,12,13,13,14,16,1.00166033088487,937.349487723335,905.273448016238
2021-04-24,2021-05-01,1,2,"GE",2,1,7,0,4.298,4,1.68583452273289,1.4826,2,3,3,4,5,6,7,1.00022868797354,1152.56062752003,859.87403719559
2021-04-25,2021-05-01,1,4,"GE",4,1,6,0,6.734,6,1.9248243943147,1.4826,4,5,6,6,7,8,10,1.0006234524013,853.105394384032,870.66946790526
2021-04-26,2021-05-01,1,6,"GE",6,1,5,0,9.68,9,2.30323791756408,1.4826,7,8,9,9,10,11,14,1.00125874817379,1126.77998573061,1021.75048697484
2021-04-27,2021-05-01,1,5,"GE",5,1,4,0,9.905,9,3.00149695718386,2.9652,6,7,8,9,11,12,15,1.00120254900296,1203.34156383765,1048.23611765256
