"target_end_date","forecast_date",".group","max_confirm","location","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q5","q20","q35","q50","q65","q80","q95","rhat","ess_bulk","ess_tail"
"2021-01-13","2021-02-01",1,2,"GE",2,1,19,0,2,2,0,0,2,2,2,2,2,2,2,NA,NA,NA
"2021-01-14","2021-02-01",1,2,"GE",2,1,18,0,2.08,2,0.29272117396199,0,2,2,2,2,2,2,3,0.999436903330547,963.439994886282,990.134629613529
"2021-01-15","2021-02-01",1,3,"GE",3,1,17,0.333333333333333,3.16,3,0.410571027434436,0,3,3,3,3,3,3,4,0.998601509203087,955.077342958495,985.748472287946
"2021-01-16","2021-02-01",1,4,"GE",4,1,16,0,4.223,4,0.481147069514616,0,4,4,4,4,4,4,5,0.99877184569591,1049.25553290357,1003.90154430938
"2021-01-17","2021-02-01",1,0,"GE",0,NA,15,NA,0.312,0,0.594145612631288,0,0,0,0,0,0,1,1,0.999269315373383,1047.25086664955,994.465254057583
"2021-01-18","2021-02-01",1,4,"GE",4,1,14,0.25,4.407,4,0.650979857426307,0,4,4,4,4,4,5,6,1.00123539559476,911.206199183448,790.637833528566
"2021-01-19","2021-02-01",1,4,"GE",4,1,13,0,4.556,4,0.803436064357027,0,4,4,4,4,5,5,6,1.00039666645935,998.194835060049,879.119979178957
"2021-01-20","2021-02-01",1,3,"GE",3,1,12,0.666666666666667,3.751,4,0.901005444384667,1.4826,3,3,3,4,4,4,5,1.00129529971058,1023.5238444537,1016.13276191059
"2021-01-21","2021-02-01",1,3,"GE",3,1,11,0.666666666666667,3.847,4,1.00628206960256,1.4826,3,3,3,4,4,5,6,1.0019483705986,973.441155119781,888.879030945203
"2021-01-22","2021-02-01",1,2,"GE",2,1,10,0,2.943,3,1.03673807001857,1.4826,2,2,2,3,3,4,5,0.999363494066369,977.90217573584,885.389145060035
"2021-01-23","2021-02-01",1,0,"GE",0,NA,9,NA,1.029,1,1.07392379259997,1.4826,0,0,0,1,1,2,3,1.0002092350763,903.696157080981,876.545475380489
"2021-01-24","2021-02-01",1,2,"GE",2,1,8,0.5,3.291,3,1.25534652383113,1.4826,2,2,3,3,4,4,6,1.00105286170826,1004.19374663906,954.850366708462
"2021-01-25","2021-02-01",1,2,"GE",2,1,7,0,3.588,3,1.36898872534807,1.4826,2,2,3,3,4,5,6,1.00052461357104,1094.1635137353,978.20011660017
"2021-01-26","2021-02-01",1,4,"GE",4,1,6,0.75,5.962,6,1.58147306554903,1.4826,4,5,5,6,6,7,9,1.00008598164502,1193.43669609635,935.188387033781
"2021-01-27","2021-02-01",1,0,"GE",0,NA,5,NA,2.254,2,1.77782019468917,1.4826,0,1,1,2,3,4,5.04999999999995,1.00319357935499,846.143480261794,879.688103948113
"2021-01-28","2021-02-01",1,0,"GE",0,NA,4,NA,2.378,2,1.86831651670872,1.4826,0,1,1,2,3,4,6,0.999227165044823,1005.48836084856,811.53231710739
"2021-01-29","2021-02-01",1,0,"GE",0,NA,3,NA,2.656,2,1.96303782885545,1.4826,0,1,2,2,3,4,6,1.00035295552198,1119.83990908825,824.998928344543
"2021-01-30","2021-02-01",1,0,"GE",0,NA,2,NA,2.699,2,2.15012139704297,1.4826,0,1,2,2,3,4,7,0.998807595342961,1236.23743481243,768.057966164397
"2021-01-31","2021-02-01",1,0,"GE",0,NA,1,NA,2.835,3,2.17267013039152,1.4826,0,1,2,3,3,4,7,0.999586176313449,1081.33671282789,839.437291287187
"2021-02-01","2021-02-01",1,0,"GE",0,NA,0,NA,3.084,3,2.43616068412551,1.4826,0,1,2,3,4,5,8,1.00673924255403,1176.01249285488,970.661144987707
"2021-01-14","2021-02-02",1,2,"GE",2,1,19,0,2,2,0,0,2,2,2,2,2,2,2,NA,NA,NA
"2021-01-15","2021-02-02",1,3,"GE",3,1,18,0,3.058,3,0.262115823071986,0,3,3,3,3,3,3,4,1.00042945572559,968.519613798521,947.526830526794
"2021-01-16","2021-02-02",1,4,"GE",4,1,17,0,4.097,4,0.322016606240571,0,4,4,4,4,4,4,5,0.998605435360797,1072.12996046345,1020.09724138446
"2021-01-17","2021-02-02",1,0,"GE",0,NA,16,NA,0.169,0,0.41304916125034,0,0,0,0,0,0,0,1,0.998493467263539,980.315767532781,940.822032969159
"2021-01-18","2021-02-02",1,4,"GE",4,1,15,0,4.264,4,0.51823987937303,0,4,4,4,4,4,5,5,0.999283540688482,882.671175308465,891.643610457788
"2021-01-19","2021-02-02",1,4,"GE",4,1,14,0,4.395,4,0.646059124533036,0,4,4,4,4,4,5,6,0.999304767987811,968.743988169432,938.745552862432
"2021-01-20","2021-02-02",1,3,"GE",3,1,13,0,3.423,3,0.680098179334082,0,3,3,3,3,3,4,5,0.998204550233493,1042.58199652128,982.321002350224
"2021-01-21","2021-02-02",1,3,"GE",3,1,12,0,3.509,3,0.771047024190816,0,3,3,3,3,4,4,5,1.00035956628075,948.065690218537,892.060391652037
"2021-01-22","2021-02-02",1,2,"GE",2,1,11,0,2.61,2,0.801587513963723,0,2,2,2,2,3,3,4,1.00476953135438,854.887788979825,684.328579880578
"2021-01-23","2021-02-02",1,0,"GE",0,NA,10,NA,0.635,0,0.816358647557213,0,0,0,0,0,1,1,2,0.998650898148014,972.691789674259,1013.14961501444
"2021-01-24","2021-02-02",1,2,"GE",2,1,9,0,2.841,3,0.957410902191758,1.4826,2,2,2,3,3,4,5,1.00059141439072,1052.76106108288,1033.01915455814
"2021-01-25","2021-02-02",1,2,"GE",2,1,8,0,3.024,3,1.08839726598729,1.4826,2,2,2,3,3,4,5,1.00053507954397,952.243881951443,920.323079785474
"2021-01-26","2021-02-02",1,4,"GE",4,1,7,0,5.204,5,1.18058365979619,1.4826,4,4,5,5,5,6,7,1.00148077518215,1067.45650184806,926.365734830486
"2021-01-27","2021-02-02",1,0,"GE",0,NA,6,NA,1.351,1,1.31663682636197,1.4826,0,0,1,1,2,2,4,1.00257160714749,1104.27935352701,955.312326399891
"2021-01-28","2021-02-02",1,0,"GE",0,NA,5,NA,1.413,1,1.40513536906784,1.4826,0,0,1,1,2,2,4,1.00222305365737,722.55140017891,783.690802082569
"2021-01-29","2021-02-02",1,0,"GE",0,NA,4,NA,1.572,1,1.42648198406109,1.4826,0,0,1,1,2,3,4,1.00519405692698,982.17970416287,917.429625443109
"2021-01-30","2021-02-02",1,0,"GE",0,NA,3,NA,1.654,1,1.41855429797252,1.4826,0,0,1,1,2,3,4,1.00022269943295,1022.14409972014,985.711582677405
"2021-01-31","2021-02-02",1,0,"GE",0,NA,2,NA,1.865,2,1.60166798692499,1.4826,0,0,1,2,2,3,5,1.00099787002593,1049.33469090285,1042.53903941647
"2021-02-01","2021-02-02",1,0,"GE",0,NA,1,NA,2.1,2,1.74787157853632,1.4826,0,1,1,2,3,3,5,1.00301762767065,951.342822598628,908.381372248647
"2021-02-02","2021-02-02",1,0,"GE",0,NA,0,NA,2.213,2,1.85878618622102,1.4826,0,1,1,2,3,3,6,0.99858642385929,1152.48076171883,814.599686786796
"2021-01-15","2021-02-03",1,3,"GE",3,1,19,0,3,3,0,0,3,3,3,3,3,3,3,NA,NA,NA
"2021-01-16","2021-02-03",1,4,"GE",4,1,18,0,4.039,4,0.208620522774061,0,4,4,4,4,4,4,4,0.998397176187041,1017.38731157453,1006.23741633944
"2021-01-17","2021-02-03",1,0,"GE",0,NA,17,NA,0.084,0,0.288144108090079,0,0,0,0,0,0,0,1,0.998276163059784,1058.63244450692,1011.74443719117
"2021-01-18","2021-02-03",1,4,"GE",4,1,16,0,4.159,4,0.417004667711158,0,4,4,4,4,4,4,5,0.999737285832832,1123.5079518335,1045.42508815129
"2021-01-19","2021-02-03",1,4,"GE",4,1,15,0,4.25,4,0.540177555801601,0,4,4,4,4,4,5,5,0.999583692956706,970.329518492454,955.348765088723
"2021-01-20","2021-02-03",1,3,"GE",3,1,14,0,3.342,3,0.604484409560248,0,3,3,3,3,3,4,5,0.999631216281885,934.684936860878,789.605214172535
"2021-01-21","2021-02-03",1,3,"GE",3,1,13,0,3.353,3,0.607255926080396,0,3,3,3,3,3,4,5,0.999773882166165,944.681158793949,935.758066164455
"2021-01-22","2021-02-03",1,2,"GE",2,1,12,0,2.397,2,0.646381318424975,0,2,2,2,2,2,3,4,0.998903415476398,918.116846517856,850.045939733645
"2021-01-23","2021-02-03",1,0,"GE",0,NA,11,NA,0.461,0,0.697829467682446,0,0,0,0,0,1,1,2,1.00524303756682,985.406286248045,953.769844929131
"2021-01-24","2021-02-03",1,2,"GE",2,1,10,0,2.554,2,0.783388599417746,0,2,2,2,2,3,3,4,1.00108731701608,880.098349784986,882.35586360948
"2021-01-25","2021-02-03",1,2,"GE",2,1,9,0,2.691,2,0.875377224563951,0,2,2,2,2,3,3,4,0.999450793197927,1106.8470259899,1015.42809045525
"2021-01-26","2021-02-03",1,4,"GE",4,1,8,0,4.852,5,0.928955843384904,1.4826,4,4,4,5,5,6,7,1.00374737847931,921.767664662701,905.224644916216
"2021-01-27","2021-02-03",1,0,"GE",0,NA,7,NA,0.932,1,1.04616942722987,1.4826,0,0,0,1,1,2,3,1.00312679005808,1074.71299178771,983.36438346044
"2021-01-28","2021-02-03",1,0,"GE",0,NA,6,NA,1.053,1,1.11509391283176,1.4826,0,0,0,1,1,2,3,1.00199281257205,838.849672009936,865.037147292061
"2021-01-29","2021-02-03",1,0,"GE",0,NA,5,NA,1.138,1,1.16632599058596,1.4826,0,0,0,1,1,2,3,0.999956887530209,920.904409421403,933.704029045323
"2021-01-30","2021-02-03",1,0,"GE",0,NA,4,NA,1.228,1,1.26871022129784,1.4826,0,0,1,1,1,2,4,1.00030811634828,1051.90449070547,840.947441866484
"2021-01-31","2021-02-03",1,0,"GE",0,NA,3,NA,1.435,1,1.41059021858397,1.4826,0,0,1,1,2,2,4,1.00421403286989,1003.76270671643,754.236394623401
"2021-02-01","2021-02-03",1,0,"GE",0,NA,2,NA,1.744,1,1.59028079061309,1.4826,0,0,1,1,2,3,5,0.999169086452357,1200.66328683772,939.284204805607
"2021-02-02","2021-02-03",1,1,"GE",1,1,1,1,2.983,3,1.73254515459561,1.4826,1,2,2,3,3,4,6,0.999154235259487,1178.96230425889,986.836072291853
"2021-02-03","2021-02-03",1,0,"GE",0,NA,0,NA,2.223,2,2.04534947000615,1.4826,0,1,1,2,3,4,6,1.00438487354709,1240.69908170505,939.406443173037
"2021-01-16","2021-02-04",1,5,"GE",5,1,19,0.2,5,5,0,0,5,5,5,5,5,5,5,NA,NA,NA
"2021-01-17","2021-02-04",1,0,"GE",0,NA,18,NA,0.044,0,0.214732647983743,0,0,0,0,0,0,0,0,0.999014597652127,1045.31886145625,1044.81629582952
"2021-01-18","2021-02-04",1,4,"GE",4,1,17,0,4.094,4,0.318222037680085,0,4,4,4,4,4,4,5,1.00026400435144,932.007432027687,918.780137370307
"2021-01-19","2021-02-04",1,4,"GE",4,1,16,0,4.144,4,0.376039100899634,0,4,4,4,4,4,4,5,1.00033215255481,954.881851466199,934.989320092748
"2021-01-20","2021-02-04",1,3,"GE",3,1,15,0,3.228,3,0.481921412938093,0,3,3,3,3,3,4,4,0.998212177369432,1079.23969663272,1055.48232734486
"2021-01-21","2021-02-04",1,3,"GE",3,1,14,0,3.297,3,0.573689916348649,0,3,3,3,3,3,4,4,1.00226136382218,881.021430693945,884.252209904564
"2021-01-22","2021-02-04",1,2,"GE",2,1,13,0,2.332,2,0.591714564740573,0,2,2,2,2,2,3,3,1.00177899693736,933.97771399869,954.17429877015
"2021-01-23","2021-02-04",1,0,"GE",0,NA,12,NA,0.365,0,0.61494158515517,0,0,0,0,0,0,1,2,1.00078945651206,1037.56811161081,1021.57674053478
"2021-01-24","2021-02-04",1,2,"GE",2,1,11,0,2.445,2,0.690979342999812,0,2,2,2,2,2,3,4,1.00125457351215,794.699010670092,838.340354858598
"2021-01-25","2021-02-04",1,3,"GE",3,1,10,0.333333333333333,3.593,3,0.79245124706759,0,3,3,3,3,4,4,5,0.998385131038164,917.286803360129,897.666061593406
"2021-01-26","2021-02-04",1,4,"GE",4,1,9,0,4.628,4,0.827224455816135,0,4,4,4,4,5,5,6,0.99939529156159,923.188671892035,877.396090673796
"2021-01-27","2021-02-04",1,0,"GE",0,NA,8,NA,0.821,1,0.951769333853988,1.4826,0,0,0,1,1,1,3,1.00012061364027,1049.65764129349,1038.82042057734
"2021-01-28","2021-02-04",1,0,"GE",0,NA,7,NA,0.843,1,0.929093221487604,1.4826,0,0,0,1,1,2,3,1.00363359634959,813.793477114623,840.558980829627
"2021-01-29","2021-02-04",1,0,"GE",0,NA,6,NA,0.924,1,1.03309790982815,1.4826,0,0,0,1,1,2,3,0.999127522268218,974.689180347872,854.984285541028
"2021-01-30","2021-02-04",1,2,"GE",2,1,5,1,3.03,3,1.10739619212201,1.4826,2,2,2,3,3,4,5,1.00252363498968,1071.49319828269,999.224015593444
"2021-01-31","2021-02-04",1,0,"GE",0,NA,4,NA,1.173,1,1.21100682803093,1.4826,0,0,1,1,1,2,4,0.998642785550619,940.911880325543,1042.03239091188
