"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"GE",2021-02-16,2021-01-28,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-01-29,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-02-16,2021-01-30,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-01-31,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-02-16,2021-02-01,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-02-16,2021-02-02,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-03,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-02-04,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,2
"GE",2021-02-16,2021-02-05,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-06,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,2
"GE",2021-02-16,2021-02-07,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-02-08,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-09,"quantile",0.05,5,"COVID-19","Epiforecast",FALSE,5
"GE",2021-02-16,2021-02-10,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-02-11,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-02-12,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-02-13,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-14,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-02-16,2021-02-15,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-02-16,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-01-28,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-01-29,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-02-16,2021-01-30,"quantile",0.2,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-01-31,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-02-16,2021-02-01,"quantile",0.2,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-02-16,2021-02-02,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-03,"quantile",0.2,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-02-04,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,2
"GE",2021-02-16,2021-02-05,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-06,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,2
"GE",2021-02-16,2021-02-07,"quantile",0.2,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-02-08,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-09,"quantile",0.2,6,"COVID-19","Epiforecast",FALSE,5
"GE",2021-02-16,2021-02-10,"quantile",0.2,2,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-02-11,"quantile",0.2,5,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-02-12,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-02-13,"quantile",0.2,5,"COVID-19","Epiforecast",FALSE,3
"GE",2021-02-16,2021-02-14,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,2
"GE",2021-02-16,2021-02-15,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,1
"GE",2021-02-16,2021-02-16,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,4
"GE",2021-02-16,2021-01-28,"quantile",0.35,1,"COVID-19","Epiforecast",FALSE,1
