"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"GE",2021-06-01,2021-05-13,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-14,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-15,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-16,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-17,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-06-01,2021-05-18,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-06-01,2021-05-19,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-06-01,2021-05-20,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-21,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-22,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-23,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-24,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-25,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-26,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-27,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-28,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,3
"GE",2021-06-01,2021-05-29,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-01,2021-05-30,"quantile",0.05,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-31,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-06-01,"quantile",0.05,0,"COVID-19","Epiforecast",FALSE,0
"GE",2021-06-01,2021-05-13,"quantile",0.2,1,"COVID-19","Epiforecast",FALSE,1
"GE",2021-06-01,2021-05-14,"quantile",0.2,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-15,"quantile",0.2,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-16,"quantile",0.2,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-06-01,2021-05-17,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-06-01,2021-05-18,"quantile",0.2,4,"COVID-19","Epiforecast",FALSE,4
