"location","forecast_date","target_end_date","type","quantile","value","pathogen","model","retrospective","truth"
"GE",2021-05-01,2021-04-12,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-05-01,2021-04-13,"quantile",0.05,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-14,"quantile",0.05,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-15,"quantile",0.05,11,"COVID-19","Epiforecast",FALSE,11
"GE",2021-05-01,2021-04-16,"quantile",0.05,8,"COVID-19","Epiforecast",FALSE,8
"GE",2021-05-01,2021-04-17,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-05-01,2021-04-18,"quantile",0.05,5,"COVID-19","Epiforecast",FALSE,5
"GE",2021-05-01,2021-04-19,"quantile",0.05,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-20,"quantile",0.05,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-21,"quantile",0.05,9,"COVID-19","Epiforecast",FALSE,9
"GE",2021-05-01,2021-04-22,"quantile",0.05,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-05-01,2021-04-23,"quantile",0.05,11,"COVID-19","Epiforecast",FALSE,11
"GE",2021-05-01,2021-04-24,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-05-01,2021-04-25,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-05-01,2021-04-26,"quantile",0.05,7,"COVID-19","Epiforecast",FALSE,6
"GE",2021-05-01,2021-04-27,"quantile",0.05,6,"COVID-19","Epiforecast",FALSE,6
"GE",2021-05-01,2021-04-28,"quantile",0.05,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-05-01,2021-04-29,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,3
"GE",2021-05-01,2021-04-30,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,2
"GE",2021-05-01,2021-05-01,"quantile",0.05,2,"COVID-19","Epiforecast",FALSE,5
"GE",2021-05-01,2021-04-12,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-05-01,2021-04-13,"quantile",0.2,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-14,"quantile",0.2,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-15,"quantile",0.2,11,"COVID-19","Epiforecast",FALSE,11
"GE",2021-05-01,2021-04-16,"quantile",0.2,8,"COVID-19","Epiforecast",FALSE,8
"GE",2021-05-01,2021-04-17,"quantile",0.2,4,"COVID-19","Epiforecast",FALSE,4
"GE",2021-05-01,2021-04-18,"quantile",0.2,5,"COVID-19","Epiforecast",FALSE,5
"GE",2021-05-01,2021-04-19,"quantile",0.2,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-20,"quantile",0.2,7,"COVID-19","Epiforecast",FALSE,7
"GE",2021-05-01,2021-04-21,"quantile",0.2,9,"COVID-19","Epiforecast",FALSE,9
"GE",2021-05-01,2021-04-22,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,3
"GE",2021-05-01,2021-04-23,"quantile",0.2,12,"COVID-19","Epiforecast",FALSE,11
"GE",2021-05-01,2021-04-24,"quantile",0.2,3,"COVID-19","Epiforecast",FALSE,2
"GE",2021-05-01,2021-04-25,"quantile",0.2,5,"COVID-19","Epiforecast",FALSE,4
"GE",2021-05-01,2021-04-26,"quantile",0.2,8,"COVID-19","Epiforecast",FALSE,6
"GE",2021-05-01,2021-04-27,"quantile",0.2,7,"COVID-19","Epiforecast",FALSE,6
"GE",2021-05-01,2021-04-28,"quantile",0.2,5,"COVID-19","Epiforecast",FALSE,4
"GE",2021-05-01,2021-04-29,"quantile",0.2,4,"COVID-19","Epiforecast",FALSE,3
"GE",2021-05-01,2021-04-30,"quantile",0.2,4,"COVID-19","Epiforecast",FALSE,2
