"target_end_date","q2.5","q10","q20","q25","q35","q50","q65","q75","q80","q90","q97.5","q5","median","q95","forecast_date","location"
"2020-12-28",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-02-01,"BS"
"2020-12-29",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-02-01,"BS"
"2020-12-30",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-02-01,"BS"
"2020-12-31",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-02-01,"BS"
"2021-01-01",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-02-01,"BS"
"2021-01-02",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-02-01,"BS"
"2021-01-03",1,1,1,1,1,1,1,1,1,1,1.02499999999998,1,1,1,2021-02-01,"BS"
"2021-01-04",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2021-02-01,"BS"
"2021-01-05",6,6,6,6,6,6,6,6,6,6,7,6,6,6,2021-02-01,"BS"
"2021-01-06",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2021-02-01,"BS"
"2021-01-07",4,4,4,4,4,4,4,4,4,4,5,4,4,4,2021-02-01,"BS"
"2021-01-08",2,2,2,2,2,2,2,2,2,2,3,2,2,3,2021-02-01,"BS"
"2021-01-09",3,3,3,3,3,3,3,3,3,3,4,3,3,4,2021-02-01,"BS"
"2021-01-10",2,2,2,2,2,2,2,2,2,2,3,2,2,3,2021-02-01,"BS"
"2021-01-11",3,3,3,3,3,3,3,3,3,3,4,3,3,4,2021-02-01,"BS"
"2021-01-12",4,4,4,4,4,4,4,4,4,4,5,4,4,5,2021-02-01,"BS"
"2021-01-13",3,3,3,3,3,3,3,3,3,4,4,3,3,4,2021-02-01,"BS"
"2021-01-14",3,3,3,3,3,3,3,3,3,4,4,3,3,4,2021-02-01,"BS"
"2021-01-15",1,1,1,1,1,1,1,1,1,2,2,1,1,2,2021-02-01,"BS"
"2021-01-16",0,0,0,0,0,0,0,0,1,1,2,0,0,1,2021-02-01,"BS"
