"target_end_date","q2.5","q10","q20","q25","q35","q50","q65","q75","q80","q90","q97.5","lwr","med","upr","forecast_date","location"
2020-12-28,208,208,208,208,208,208,208,208,208,208,208,208,208,208,2021-02-01,"CH"
2020-12-29,144,144,144,144,144,144,144,144,144,144,144,144,144,144,2021-02-01,"CH"
2020-12-30,155,155,155,155,155,155,155,155,155,155,156,155,155,155,2021-02-01,"CH"
2020-12-31,128,128,128,128,128,128,128,128,128,128,129,128,128,129,2021-02-01,"CH"
2021-01-01,57,57,57,57,57,57,57,57,57,58,58,57,57,58,2021-02-01,"CH"
2021-01-02,106,106,106,106,106,106,106,106,107,107,108,106,106,107,2021-02-01,"CH"
2021-01-03,112,112,112,112,112,112,112,113,113,113,114,112,112,114,2021-02-01,"CH"
2021-01-04,173,173,173,173,173,173,173,174,174,174,175,173,173,175,2021-02-01,"CH"
2021-01-05,128,128,128,128,128,128,129,129,129,130,131,128,128,130,2021-02-01,"CH"
2021-01-06,117,117,117,117,117,117,118,118,118,119,120,117,117,120,2021-02-01,"CH"
2021-01-07,134,134,134,134,134,135,135,135,136,136,138,134,135,137,2021-02-01,"CH"
2021-01-08,118,118,118,118,118,119,119,120,120,121,122,118,119,121,2021-02-01,"CH"
2021-01-09,70,70,70,70,71,71,71,72,72,73,74,70,71,74,2021-02-01,"CH"
2021-01-10,64,64,64,64,65,65,66,66,66,67,68,64,65,68,2021-02-01,"CH"
2021-01-11,117,117,117,118,118,118,119,120,120,121,122,117,118,121,2021-02-01,"CH"
2021-01-12,88,88,89,89,89,90,90,91,91,92,93,88,90,93,2021-02-01,"CH"
2021-01-13,105,105,106,106,106,107,108,108,109,110,112,105,107,110,2021-02-01,"CH"
2021-01-14,84,84,85,85,86,86,87,88,88,89,91,84,86,90,2021-02-01,"CH"
2021-01-15,87,88,88,88,89,90,91,91,92,93,96,87,90,94,2021-02-01,"CH"
2021-01-16,49,50,51,51,52,52,53,54,55,56,59,49,52,58,2021-02-01,"CH"
2021-01-17,53,54,55,55,56,57,58,59,59.2,61,64,54,57,62,2021-02-01,"CH"
2021-01-18,95,96,97,97,98,99,100,101,101.2,103,106,95,99,105,2021-02-01,"CH"
2021-01-19,75,76,77,77,78,79,81,82,83,84,87,75,79,86,2021-02-01,"CH"
2021-01-20,63,65,66,66,67,69,70,71,72,74,78,64,69,76,2021-02-01,"CH"
2021-01-21,68,69,71,71,72,74,76,77,78,81,85,69,74,83,2021-02-01,"CH"
2021-01-22,66,68,70,71,72,74,76,77,78,81,86.025,67,74,84,2021-02-01,"CH"
2021-01-23,24,26,29,29,31,33,35,37,38,42,48,25,33,45,2021-02-01,"CH"
2021-01-24,28,31,33,34,36,39,41,44,46,50,58.025,30,39,55,2021-02-01,"CH"
2021-01-25,55.975,59,61,62,64,68,71,75,77,82,94,57,68,88,2021-02-01,"CH"
2021-01-26,62,66,69,70,73,77,81,85,87,94,109,63,77,102,2021-02-01,"CH"
2021-01-27,54,59,63,64,67,72,77,81,83,93,110.025,56,72,102,2021-02-01,"CH"
2021-01-28,55,59,63,66,70,75,81,88,91.2,103,123,56,75,113,2021-02-01,"CH"
2021-01-29,43.975,52,56,58,63,69,77,83,88,101,125,48,69,112,2021-02-01,"CH"
2021-01-30,14.975,21,28,31,35,43,51,58,63,80,105.05,17,43,92,2021-02-01,"CH"
2021-01-31,14.975,24,30,32,38,46,57,67,72,87,119.025,18,46,103.05,2021-02-01,"CH"
2021-02-01,16,24,33,36,40,49,59,68,75,96.1,141.025,19,49,117,2021-02-01,"CH"
2020-12-29,144,144,144,144,144,144,144,144,144,144,144,144,144,144,2021-02-02,"CH"
2020-12-30,155,155,155,155,155,155,155,155,155,155,155,155,155,155,2021-02-02,"CH"
2020-12-31,128,128,128,128,128,128,128,128,128,128,128,128,128,128,2021-02-02,"CH"
2021-01-01,58,58,58,58,58,58,58,58,58,58,59,58,58,58.05,2021-02-02,"CH"
2021-01-02,106,106,106,106,106,106,106,106,106,106,107,106,106,107,2021-02-02,"CH"
2021-01-03,112,112,112,112,112,112,112,112,112,113,113,112,112,113,2021-02-02,"CH"
2021-01-04,174,174,174,174,174,174,174,174,174,175,175,174,174,175,2021-02-02,"CH"
2021-01-05,128,128,128,128,128,128,128,128,129,129,130,128,128,129,2021-02-02,"CH"
2021-01-06,118,118,118,118,118,118,118,119,119,119,120,118,118,119,2021-02-02,"CH"
2021-01-07,134,134,134,134,134,134,134,135,135,135,136,134,134,136,2021-02-02,"CH"
2021-01-08,120,120,120,120,120,120,121,121,121,121,122,120,120,122,2021-02-02,"CH"
2021-01-09,70,70,70,70,70,70,71,71,71,72,73,70,70,72,2021-02-02,"CH"
2021-01-10,64,64,64,64,64,65,65,65,65,66,67,64,65,67,2021-02-02,"CH"
2021-01-11,117,117,117,117,117,118,118,118,119,119,120,117,118,120,2021-02-02,"CH"
2021-01-12,89,89,89,89,89,90,90,91,91,92,93,89,90,92,2021-02-02,"CH"
2021-01-13,107,107,107,107,108,108,108,109,109,110,112,107,108,111,2021-02-02,"CH"
2021-01-14,86,86,86,86,87,87,88,88,89,89,91,86,87,90,2021-02-02,"CH"
2021-01-15,88,88,89,89,89,90,90,91,91,92,93,88,90,93,2021-02-02,"CH"
2021-01-16,49,49,50,50,50,51,52,52,52,53,55,49,51,54,2021-02-02,"CH"
2021-01-17,55,55,56,56,57,57,58,59,59,60,63,55,57,61,2021-02-02,"CH"
2021-01-18,95,96,96.8,97,97,98,99,100,100,102,104,95,98,103,2021-02-02,"CH"
2021-01-19,74,75,76,76,77,78,79,80,80,81,84,75,78,83,2021-02-02,"CH"
2021-01-20,66,67,68,68,69,70,71,72,73,75,77,66,70,76,2021-02-02,"CH"
2021-01-21,71,72,73,74,75,76,77,78,79,81,84.025,71,76,83,2021-02-02,"CH"
2021-01-22,69,71,72,73,74,75,76.35,78,79,81,86,70,75,84,2021-02-02,"CH"
2021-01-23,24,26,27,28,29,30,32,34,35,38,43,25,30,40,2021-02-02,"CH"
2021-01-24,28,30,31,32,33,35,37,39,40,43,50,29,35,47,2021-02-02,"CH"
2021-01-25,56,58,60,61,62,65,68,70,71,75.1,83.025,57,65,80,2021-02-02,"CH"
2021-01-26,62,65,67,68,70,72.5,76,79,81,86,95,63,72.5,90,2021-02-02,"CH"
2021-01-27,54,57,60,61,63,66,70,73,76,81.1,92.025,55,66,87,2021-02-02,"CH"
2021-01-28,54,58,61,62,65,69,74,78,80,87,99,56,69,94.05,2021-02-02,"CH"
2021-01-29,50,55,59,61,64,68.5,74,79,82,90,105,52,68.5,99,2021-02-02,"CH"
2021-01-30,33,38,42,45,48,53,59,65,69,78,100,35,53,88.05,2021-02-02,"CH"
2021-01-31,24,31,36,38,41.65,48,55,62,66,77,95,27,48,85.05,2021-02-02,"CH"
2021-02-01,20.975,28,33,35,39,45,53,60,64,75.1,101,23,45,87,2021-02-02,"CH"
2021-02-02,15,22,27,29,34,41,50,56,60,73,99,18,41,87,2021-02-02,"CH"
2020-12-30,155,155,155,155,155,155,155,155,155,155,155,155,155,155,2021-02-03,"CH"
2020-12-31,129,129,129,129,129,129,129,129,129,129,129,129,129,129,2021-02-03,"CH"
2021-01-01,58,58,58,58,58,58,58,58,58,58,58,58,58,58,2021-02-03,"CH"
2021-01-02,106,106,106,106,106,106,106,106,106,106,107,106,106,106,2021-02-03,"CH"
2021-01-03,112,112,112,112,112,112,112,112,112,112,113,112,112,112.05,2021-02-03,"CH"
2021-01-04,175,175,175,175,175,175,175,175,175,175,176,175,175,175,2021-02-03,"CH"
2021-01-05,128,128,128,128,128,128,128,128,128,128,129,128,128,129,2021-02-03,"CH"
2021-01-06,118,118,118,118,118,118,118,118,118,119,119,118,118,119,2021-02-03,"CH"
2021-01-07,134,134,134,134,134,134,134,134,134,135,135,134,134,135,2021-02-03,"CH"
2021-01-08,123,123,123,123,123,123,123,123,123,124,125,123,123,124,2021-02-03,"CH"
2021-01-09,70,70,70,70,70,70,70,70,71,71,72,70,70,71,2021-02-03,"CH"
2021-01-10,65,65,65,65,65,65,65,66,66,66,67,65,65,67,2021-02-03,"CH"
2021-01-11,118,118,118,118,118,118,118,119,119,120,121,118,118,120,2021-02-03,"CH"
