"target_end_date","q2.5","q10","q20","q25","q35","q50","q65","q75","q80","q90","q97.5","q5","median","q95","forecast_date","location"
"2020-12-28",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-02-01,"GE"
"2020-12-29",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-02-01,"GE"
"2020-12-30",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-02-01,"GE"
"2020-12-31",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-02-01,"GE"
"2021-01-01",4,4,4,4,4,4,4,4,4,4,5,4,4,4,2021-02-01,"GE"
"2021-01-02",4,4,4,4,4,4,4,4,4,4,5,4,4,4,2021-02-01,"GE"
"2021-01-03",4,4,4,4,4,4,4,4,4,4,5,4,4,5,2021-02-01,"GE"
"2021-01-04",2,2,2,2,2,2,2,2,2,2,3,2,2,3,2021-02-01,"GE"
"2021-01-05",1,1,1,1,1,1,1,1,1,1,2,1,1,2,2021-02-01,"GE"
"2021-01-06",3,3,3,3,3,3,3,3,3,4,4,3,3,4,2021-02-01,"GE"
"2021-01-07",2,2,2,2,2,2,2,2,2,3,3,2,2,3,2021-02-01,"GE"
"2021-01-08",5,5,5,5,5,5,5,5,5,6,6,5,5,6,2021-02-01,"GE"
"2021-01-09",2,2,2,2,2,2,2,2,2,3,4,2,2,3,2021-02-01,"GE"
"2021-01-10",3,3,3,3,3,3,3,3,4,4,5,3,3,4,2021-02-01,"GE"
"2021-01-11",2,2,2,2,2,2,2,3,3,3,4,2,2,3.04999999999995,2021-02-01,"GE"
"2021-01-12",1,1,1,1,1,1,2,2,2,2,3,1,1,3,2021-02-01,"GE"
"2021-01-13",2,2,2,2,2,2,3,3,3,3.10000000000002,4,2,2,4,2021-02-01,"GE"
"2021-01-14",2,2,2,2,2,2,3,3,3,4,5,2,2,4,2021-02-01,"GE"
"2021-01-15",3,3,3,3,3,4,4,4,4,5,6,3,4,5,2021-02-01,"GE"
"2021-01-16",4,4,4,4,4,5,5,5,6,6,7,4,5,7,2021-02-01,"GE"
"2021-01-17",0,0,0,0,0,1,1,2,2,2,4,0,1,3,2021-02-01,"GE"
"2021-01-18",4,4,4,4,5,5,5,6,6,7,8,4,5,7,2021-02-01,"GE"
"2021-01-19",4,4,4,4,5,5,6,6,6,7,8.02499999999998,4,5,8,2021-02-01,"GE"
"2021-01-20",3,3,3,4,4,4,5,5,6,7,8,3,4,7,2021-02-01,"GE"
"2021-01-21",3,3,4,4,4,5,5,6,6,7,9,3,5,8,2021-02-01,"GE"
"2021-01-22",2,2,3,3,3,4,5,5,6,7,9,2,4,8,2021-02-01,"GE"
"2021-01-23",0,1,1,1,2,2,3,4,4,5,7,0,2,6,2021-02-01,"GE"
"2021-01-24",2,3,3,3,4,5,6,6,7,8,10,2,5,9,2021-02-01,"GE"
"2021-01-25",2,3,4,4,4,5,6,7,7,9,11,2,5,10,2021-02-01,"GE"
"2021-01-26",4,5,6,6,7,8,9,10,10,12,14,5,8,13,2021-02-01,"GE"
"2021-01-27",1,1,2,3,3,4,5,6,7,8,12,1,4,10,2021-02-01,"GE"
"2021-01-28",1,2,3,3,4,5,6,7,8,10,14,1,5,11,2021-02-01,"GE"
"2021-01-29",1,2,3,3,4,5,6,8,8,10,14,1,5,12,2021-02-01,"GE"
"2021-01-30",1,2,3,3,4,5,7,8,9,11,15.025,1,5,13,2021-02-01,"GE"
"2021-01-31",1,2,3,3,4,6,7,8,9,12,16.025,1,6,14.05,2021-02-01,"GE"
"2021-02-01",1,2,3,4,5,6,8,9,10,12,18,1,6,15,2021-02-01,"GE"
"2020-12-29",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-02-02,"GE"
"2020-12-30",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-02-02,"GE"
"2020-12-31",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-02-02,"GE"
"2021-01-01",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-02-02,"GE"
"2021-01-02",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-02-02,"GE"
"2021-01-03",4,4,4,4,4,4,4,4,4,4,5,4,4,4,2021-02-02,"GE"
"2021-01-04",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2021-02-02,"GE"
"2021-01-05",1,1,1,1,1,1,1,1,1,1,2,1,1,1,2021-02-02,"GE"
"2021-01-06",3,3,3,3,3,3,3,3,3,3,4,3,3,4,2021-02-02,"GE"
"2021-01-07",2,2,2,2,2,2,2,2,2,2,3,2,2,3,2021-02-02,"GE"
"2021-01-08",5,5,5,5,5,5,5,5,5,5,6,5,5,6,2021-02-02,"GE"
"2021-01-09",2,2,2,2,2,2,2,2,2,3,3,2,2,3,2021-02-02,"GE"
"2021-01-10",3,3,3,3,3,3,3,3,3,4,4,3,3,4,2021-02-02,"GE"
"2021-01-11",2,2,2,2,2,2,2,2,2,3,3,2,2,3,2021-02-02,"GE"
"2021-01-12",1,1,1,1,1,1,1,1,2,2,3,1,1,2,2021-02-02,"GE"
"2021-01-13",2,2,2,2,2,2,2,3,3,3,4,2,2,3,2021-02-02,"GE"
"2021-01-14",2,2,2,2,2,2,2,3,3,3,4,2,2,3,2021-02-02,"GE"
"2021-01-15",3,3,3,3,3,3,4,4,4,4,5,3,3,5,2021-02-02,"GE"
